Year Month,ICB Code,Commissioner / Provider Code,PCN,PCN Code,Practice,BNF Chemical Substance plus Code,BNF Presentation plus Code,Items,Actual Cost,ADQ Usage,List Size,,,,,,
202304,QHM,00L00,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,136.3276426,,12275,,,,,,
202304,QHM,00L00,WANSBECK PCN,U11112,GUIDEPOST MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,204.4666639,,7975,,,,,,
202304,QHM,00L00,WANSBECK PCN,U11112,SEATON PARK MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,19036,,,,,,
202304,QHM,00L00,WANSBECK PCN,U11112,THE GABLES MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,6320,,,,,,
202304,QHM,00L00,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,18856,,,,,,
202304,QHM,00L00,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,136.3276426,,4508,,,,,,
202304,QHM,00L00,WELL UP NORTH PCN,U25545,GAS HOUSE LANE SURGERY,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,136.3276426,,6400,,,,,,
202304,QHM,00L00,WELL UP NORTH PCN,U25545,GREYSTOKE SURGERY,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),3,204.4914639,,10275,,,,,,
202304,QHM,00L00,WELL UP NORTH PCN,U25545,UNION BRAE & NORHAM PRAC,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),7,477.1343491,,7292,,,,,,
202304,QHM,00L00,WELL UP NORTH PCN,U25545,WELL CLOSE MEDICAL GROUP,,,,,,9140,,,,,,
202304,QHM,00L00,WELL UP NORTH PCN,U25545,WOOLER HEALTH,,,,,,4785,,,,,,
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,,,,,,3456,,,,,,
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,5347,,,,,,
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,10232,,,,,,
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,CORBRIDGE HEALTH CENTRE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),4,170.7281533,,7184,,,,,,
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,HALTWHISTLE MEDICAL GROUP,,,,,,5587,,,,,,
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,HUMSHAUGH & WARK MED GRP,,,,,,3599,,,,,,
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,PRUDHOE MEDICAL GROUP,,,,,,6909,,,,,,
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,SCOTS GAP MEDICAL GROUP,,,,,,2061,,,,,,
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,THE SELE MEDICAL PRACTICE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,5766,,,,,,
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,WHITE MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,45.65280541,,8174,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE EAST PCN,U20256,FARNHAM MEDICAL CTR.,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),1,68.1638213,,17201,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE EAST PCN,U20256,ST GEORGE & RIVERSIDE MEDICAL PRACTICE,,,,,,7204,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE EAST PCN,U20256,TALBOT MEDICAL CENTRE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,8017,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE EAST PCN,U20256,TRINITY MEDICAL CENTRE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,204.4790639,,6451,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE EAST PCN,U20256,WENLOCK ROAD SURGERY,,,,,,4542,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE EAST PCN,U20256,WEST VIEW SURGERY,,,,,,2874,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE EAST PCN,U20256,WAWN STREET SURGERY ( C 01-May-25 ),Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,136.3276426,,7902,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE SOUTH PCN,U89118,CENTRAL SURGERY,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),4,272.6552852,,19091,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE SOUTH PCN,U89118,COLLIERY COURT MEDICAL GROUP,,,,,,8307,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE SOUTH PCN,U89118,DR THORNILEY-WALKER & PARTNERS,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,136.3276426,,6163,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE SOUTH PCN,U89118,IMEARY MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,136.3276426,,4038,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE SOUTH PCN,U89118,MARSDEN MEDICAL GROUP,,,,,,14357,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE SOUTH PCN,U89118,WHITBURN SURGERY,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,90.99022401,,5394,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE WEST PCN,U37826,ALBERT ROAD SURGERY,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),3,204.4914639,,3109,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE WEST PCN,U37826,EAST WING PRACTICE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,136.3152426,,4092,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE WEST PCN,U37826,ELLISON VIEW SURGERY,,,,,,6241,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE WEST PCN,U37826,MAYFIELD MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,136.3276426,,9220,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE WEST PCN,U37826,RAVENSWORTH SURGERY,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,136.3152426,,5793,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE WEST PCN,U37826,THE G.P.SUITE,,,,,,4631,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE WEST PCN,U37826,THE GLEN MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,10962,,,,,,
202304,QHM,00N00,SOUTH TYNESIDE WEST PCN,U37826,VICTORIA MEDICAL CENTRE,,,,,,3604,,,,,,
202304,QHM,00P00,COALFIELDS PCN,U69720,GRANGEWOOD SURGERY,,,,,,7217,,,,,,
202304,QHM,00P00,COALFIELDS PCN,U69720,HERRINGTON MEDICAL CENTRE,,,,,,9208,,,,,,
202304,QHM,00P00,COALFIELDS PCN,U69720,HETTON GROUP PRACTICE,,,,,,11665,,,,,,
202304,QHM,00P00,COALFIELDS PCN,U69720,"HOUGHTON MEDICAL GROUP,",,,,,,8107,,,,,,
202304,QHM,00P00,COALFIELDS PCN,U69720,KEPIER MEDICAL PRACTICE,,,,,,8374,,,,,,
202304,QHM,00P00,COALFIELDS PCN,U69720,WESTBOURNE MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,136.3276426,,6532,,,,,,
202304,QHM,00P00,DUMMY,-,FARMBOROUGH COURT,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),4,45.89643177,,,,,,,,
202304,QHM,00P00,DUMMY,-,PALLION PRIMARY CARE SERVICES,,,,,,22,,,,,,
202304,QHM,00P00,SUNDERLAND CENTRAL PCN,U05458,HAPPY HOUSE SURGERY,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),3,204.4914639,,8007,,,,,,
202304,QHM,00P00,SUNDERLAND CENTRAL PCN,U05458,NEW SILKSWORTH MEDICAL PRACTICE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),3,159.1540453,,9400,,,,,,
202304,QHM,00P00,SUNDERLAND CENTRAL PCN,U05458,SPRINGWELL MEDICAL GROUP,,,,,,6431,,,,,,
202304,QHM,00P00,SUNDERLAND CENTRAL PCN,U05458,SUNDERLAND GP ALLIANCE SOUTH HYLTON SURG,,,,,,4577,,,,,,
202304,QHM,00P00,SUNDERLAND CENTRAL PCN,U05458,VILLAGE SURGERY PARTNERSHIP,,,,,,4639,,,,,,
202304,QHM,00P00,SUNDERLAND EAST PCN,U52297,ASHBURN MEDICAL CENTRE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,5240,,,,,,
202304,QHM,00P00,SUNDERLAND EAST PCN,U52297,DEERNESS PARK MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,13399,,,,,,
202304,QHM,00P00,SUNDERLAND EAST PCN,U52297,PARK LANE PRACTICE,,,,,,4359,,,,,,
202304,QHM,00P00,SUNDERLAND EAST PCN,U52297,RIVERVIEW SURGERY,,,,,,7042,,,,,,
202304,QHM,00P00,SUNDERLAND EAST PCN,U52297,SOUTHLANDS MEDICAL GROUP,,,,,,9455,,,,,,
202304,QHM,00P00,SUNDERLAND EAST PCN,U52297,THE NEW CITY MEDICAL GROUP,,,,,,5345,,,,,,
202304,QHM,00P00,SUNDERLAND EAST PCN,U52297,VILLETTE SURGERY,,,,,,5480,,,,,,
202304,QHM,00P00,SUNDERLAND NORTH PCN,U43314,BRIDGE VIEW MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,14921,,,,,,
202304,QHM,00P00,SUNDERLAND NORTH PCN,U43314,CASTLETOWN MEDICAL CENTRE,,,,,,2150,,,,,,
202304,QHM,00P00,SUNDERLAND NORTH PCN,U43314,"FULWELL MEDICAL CENTRE,",Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),3,91.11203719,,9180,,,,,,
202304,QHM,00P00,SUNDERLAND NORTH PCN,U43314,MONKWEARMOUTH HEALTH CENTRE,,,,,,4591,,,,,,
202304,QHM,00P00,SUNDERLAND NORTH PCN,U43314,RED HOUSE MEDICAL CENTRE,,,,,,5331,,,,,,
202304,QHM,00P00,SUNDERLAND NORTH PCN,U43314,ST BEDE MEDICAL CENTRE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),4,340.8067065,,9184,,,,,,
202304,QHM,00P00,SUNDERLAND WEST 1 PCN,U14646,CHESTER SURGERY,,,,,,2914,,,,,,
202304,QHM,00P00,SUNDERLAND WEST 1 PCN,U14646,FORGE MEDICAL PRACTICE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,136.3276426,,9033,,,,,,
202304,QHM,00P00,SUNDERLAND WEST 1 PCN,U14646,HYLTON MEDICAL GROUP,,,,,,5828,,,,,,
202304,QHM,00P00,SUNDERLAND WEST 1 PCN,U14646,MILLFIELD MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,136.3276426,,14301,,,,,,
202304,QHM,00P00,SUNDERLAND WEST 1 PCN,U14646,PALLION FAMILY PRACTICE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,90.99022401,,10384,,,,,,
202304,QHM,00P00,SUNDERLAND WEST 1 PCN,U14646,PALLION FAMILY PRACTICE,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),2,136.3276426,,10384,,,,,,
202304,QHM,00P00,SUNDERLAND WEST 1 PCN,U14646,THE BROADWAY MEDICAL PRACTICE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,6872,,,,,,
202304,QHM,00P00,SUNDERLAND WEST 1 PCN,U14646,WEARSIDE MEDICAL PRACTICE - PALLION,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,8411,,,,,,
202304,QHM,00P00,WASHINGTON PCN,U61868,CONCORD MEDICAL PRACTICE,,,,,,5166,,,,,,
202304,QHM,00P00,WASHINGTON PCN,U61868,GALLERIES MEDICAL PRACTICE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),3,204.4914639,,11063,,,,,,
202304,QHM,00P00,WASHINGTON PCN,U61868,I J HEALTHCARE,,,,,,3839,,,,,,
202304,QHM,00P00,WASHINGTON PCN,U61868,NEW WASHINGTON MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,136.3276426,,7366,,,,,,
202304,QHM,00P00,WASHINGTON PCN,U61868,RICKLETON MEDICAL CENTRE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,136.3276426,,2456,,,,,,
202304,QHM,00P00,WASHINGTON PCN,U61868,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),4,238.6795746,,10482,,,,,,
202304,QHM,00P00,WASHINGTON PCN,U61868,THE STEPHENSON MEDICAL PRACTICE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),6,590.9137758,,12401,,,,,,
202304,QHM,01H00,CARLISLE HEALTHCARE PCN,U92223,CARLISLE HEALTHCARE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),5,261.5059773,,37840,,,,,,
202304,QHM,01H00,CARLISLE HEALTHCARE PCN,U92223,CARLISLE HEALTHCARE,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),2,136.3276426,,37840,,,,,,
202304,QHM,01H00,CARLISLE HEALTHCARE PCN,U92223,SPENCER ST SURGERY,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,13212,,,,,,
202304,QHM,01H00,CARLISLE PCN,U66688,CARLISLE CENTRAL PRACTICE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,5471,,,,,,
202304,QHM,01H00,CARLISLE PCN,U66688,EDEN MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),10,285.0008063,,16337,,,,,,
202304,QHM,01H00,CARLISLE PCN,U66688,WARWICK SQUARE GROUP PRACTICE,,,,,,7769,,,,,,
202304,QHM,01H00,CARLISLE PCN,U66688,FUSEHILL MEDICAL PRACTICE ( C 01-May-25 ),Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,7945,,,,,,
202304,QHM,01H00,CARLISLE RURAL PCN,U00639,BRAMPTON MEDICAL PRACTICE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1514213,,16845,,,,,,
202304,QHM,01H00,CARLISLE RURAL PCN,U00639,BRAMPTON MEDICAL PRACTICE,Lidocaine hydrochloride (1502010J0),Ralvo 700mg medicated plasters (1502010J0BWAAEL),2,115.8698162,,16845,,,,,,
202304,QHM,01H00,CARLISLE RURAL PCN,U00639,LONGTOWN MEDICAL CENTRE,,,,,,3673,,,,,,
202304,QHM,01H00,COCKERMOUTH & MARYPORT PCN,U76572,CASTLEGATE AND DERWENT SURGERY,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,136.3276426,,18025,,,,,,
202304,QHM,01H00,COCKERMOUTH & MARYPORT PCN,U76572,MARYPORT HEALTH SERVICES,,,,,,13672,,,,,,
202304,QHM,01H00,COPELAND HAVEN PCN,U94879,DISTINGTON SURGERY,,,,,,5758,,,,,,
202304,QHM,01H00,COPELAND HAVEN PCN,U94879,MANSION HOUSE SURGERY,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,7269,,,,,,
202304,QHM,01H00,COPELAND HAVEN PCN,U94879,WESTCROFT HOUSE SURGERY,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,5597,,,,,,
202304,QHM,01H00,COPELAND PCN,U48302,FELLVIEW HEALTHCARE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),10,738.5279264,,23825,,,,,,
202304,QHM,01H00,COPELAND PCN,U48302,LOWTHER MEDICAL CENTRE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),6,295.6940879,,14243,,,,,,
202304,QHM,01H00,COPELAND PCN,U48302,SEASCALE HEALTH CENTRE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,136.3028426,,5905,,,,,,
202304,QHM,01H00,COPELAND PCN,U48302,SEASCALE HEALTH CENTRE,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),1,68.1514213,,5905,,,,,,
202304,QHM,01H00,COPELAND PCN,U48302,QUEEN STREET MEDICAL PRACTICE ( C 01-Apr-24 ),Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,136.3276426,,2,,,,,,
202304,QHM,01H00,EDEN (CUMBRIA) PCN,U08085,ALSTON MEDICAL PRACTICE,,,,,,2246,,,,,,
202304,QHM,01H00,EDEN (CUMBRIA) PCN,U08085,APPLEBY MEDICAL PRACTICE,,,,,,5050,,,,,,
202304,QHM,01H00,EDEN (CUMBRIA) PCN,U08085,BIRBECK MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,136.3276426,,14363,,,,,,
202304,QHM,01H00,EDEN (CUMBRIA) PCN,U08085,COURT THORN SURGERY,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,3704,,,,,,
202304,QHM,01H00,EDEN (CUMBRIA) PCN,U08085,COURT THORN SURGERY,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),1,34.18811065,,3704,,,,,,
202304,QHM,01H00,EDEN (CUMBRIA) PCN,U08085,GLENRIDDING HEALTH CENTRE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,945,,,,,,
202304,QHM,01H00,EDEN (CUMBRIA) PCN,U08085,KIRKOSWALD SURGERY,,,,,,2710,,,,,,
202304,QHM,01H00,EDEN (CUMBRIA) PCN,U08085,SHAP MEDICAL PRACTICE,,,,,,3224,,,,,,
202304,QHM,01H00,EDEN (CUMBRIA) PCN,U08085,TEMPLE SOWERBY MEDICAL PRACTICE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,181.7402612,,4830,,,,,,
202304,QHM,01H00,EDEN (CUMBRIA) PCN,U08085,THE LAKES MEDICAL PRACTICE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),3,204.4914639,,10965,,,,,,
202304,QHM,01H00,EDEN (CUMBRIA) PCN,U08085,THE LAKES MEDICAL PRACTICE,Lidocaine hydrochloride (1502010J0),Ralvo 700mg medicated plasters (1502010J0BWAAEL),1,57.94110811,,10965,,,,,,
202304,QHM,01H00,EDEN (CUMBRIA) PCN,U08085,UPPER EDEN MEDICAL PRACTICE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,136.3152426,,6679,,,,,,
202304,QHM,01H00,EDEN (CUMBRIA) PCN,U08085,UPPER EDEN MEDICAL PRACTICE,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),1,68.1514213,,6679,,,,,,
202304,QHM,01H00,KESWICK & SOLWAY PCN,U25680,ASPATRIA MEDICAL GROUP,,,,,,6874,,,,,,
202304,QHM,01H00,KESWICK & SOLWAY PCN,U25680,CALDBECK SURGERY,,,,,,4364,,,,,,
202304,QHM,01H00,KESWICK & SOLWAY PCN,U25680,CASTLEHEAD MEDICAL CENTRE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),4,204.8132771,,8364,,,,,,
202304,QHM,01H00,KESWICK & SOLWAY PCN,U25680,CASTLEHEAD MEDICAL CENTRE,Lidocaine hydrochloride (1502010J0),Ralvo 700mg medicated plasters (1502010J0BWAAEL),1,57.94110811,,8364,,,,,,
202304,QHM,01H00,KESWICK & SOLWAY PCN,U25680,DALSTON MEDICAL GROUP,,,,,,5119,,,,,,
202304,QHM,01H00,KESWICK & SOLWAY PCN,U25680,SILLOTH GROUP MEDICAL PRACTICE,,,,,,4320,,,,,,
202304,QHM,01H00,KESWICK & SOLWAY PCN,U25680,THE CROFT SURGERY,,,,,,3488,,,,,,
202304,QHM,01H00,KESWICK & SOLWAY PCN,U25680,WIGTON GROUP MEDICAL PRACTICE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),5,159.4882585,,8945,,,,,,
202304,QHM,01H00,WORKINGTON PCN,U67303,JAMES STREET GROUP PRACT,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),4,272.6552852,,32818,,,,,,
202304,QHM,01H00,WORKINGTON PCN,U67303,JAMES STREET GROUP PRACT,Lidocaine hydrochloride (1502010J0),Ralvo 700mg medicated plasters (1502010J0BWAAEL),3,173.8233243,,32818,,,,,,
202304,QHM,13T00,BIRTLEY AND CENTRAL GATESHEAD PCN,U76028,BIRTLEY MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),6,681.588613,,15611,,,,,,
202304,QHM,13T00,BIRTLEY AND CENTRAL GATESHEAD PCN,U76028,OXFORD TCE & RAWLING RD MEDICAL GROUP,,,,,,16985,,,,,,
202304,QHM,13T00,BIRTLEY AND CENTRAL GATESHEAD PCN,U76028,SECOND STREET SURGERY,Lidocaine hydrochloride (1502010J0),Ralvo 700mg medicated plasters (1502010J0BWAAEL),1,29.07675405,,4451,,,,,,
202304,QHM,13T00,BIRTLEY AND CENTRAL GATESHEAD PCN,U76028,THE BRIDGES MEDICAL PRACTICE,,,,,,7215,,,,,,
202304,QHM,13T00,DUMMY,-,GOSFORTH MEMORIAL MED.CTR ( D 01-Sep-24 ),Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,11063,,,,,,
202304,QHM,13T00,DUMMY,-,ST OSWALDS PALLIATIVE CARE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),4,272.6552852,,,,,,,,
202304,QHM,13T00,GATESHEAD CENTRAL SOUTH PCN,U91254,BEACON VIEW MEDICAL CENTRE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,5407,,,,,,
202304,QHM,13T00,GATESHEAD CENTRAL SOUTH PCN,U91254,BENSHAM FAMILY PRACTICE,,,,,,3996,,,,,,
