Practice code,Practice,COPD Register
A83637,VILLAGES MEDICAL GROUP,176
A83644,ANNFIELD PLAIN SURGERY,104
A85001,FELL TOWER MEDICAL CENTRE,149
A85002,BENSHAM FAMILY PRACTICE,123
A85004,LONGRIGG MEDICAL CENTRE,352
A85005,OXFORD TCE & RAWLING RD MEDICAL GROUP,552
A85006,GLENPARK & TEAMS MEDICAL SERVICES,388
A85007,FELL COTTAGE SURGERY,169
A85008,BIRTLEY MEDICAL GROUP,454
A85009,CROWHALL MEDICAL CENTRE,240
A85010,CHAINBRIDGE MEDICAL PARTNERSHIP,326
A85011,ST. ALBANS MEDICAL GROUP,266
A85013,MILLENNIUM FAMILY PRACTICE,157
A85014,CRAWCROOK MEDICAL CENTRE,469
A85016,WREKENTON MEDICAL GROUP,390
A85017,BEWICK ROAD SURGERY,84
A85018,OLDWELL SURGERY,185
A85019,CENTRAL GATESHEAD MEDICAL GROUP,328
A85020,WHICKHAM COTTAGE MEDICAL CENTRE,272
A85021,SECOND STREET SURGERY,61
A85024,CHOPWELL PRIMARY HEALTHCARE CENTRE,78
A85026,BEACON VIEW MEDICAL CENTRE,206
A85611,PELAW MEDICAL PRACTICE,140
A85614,THE BRIDGES MEDICAL PRACTICE,13
A85616,HOLLYHURST MEDICAL CENTRE,164
A85617,SUNNISIDE SURGERY,76
A82004,ALSTON MEDICAL PRACTICE,67
A82006,APPLEBY MEDICAL PRACTICE,99
A82012,BRAMPTON MEDICAL PRACTICE,299
A82014,CALDBECK SURGERY,87
A82015,CARLISLE CENTRAL PRACTICE,252
A82016,CARLISLE HEALTHCARE,927
A82018,SPENCER ST SURGERY,297
A82020,EDEN MEDICAL GROUP,381
A82021,CASTLEGATE AND DERWENT SURGERY,287
A82022,DALSTON MEDICAL GROUP,88
A82023,DISTINGTON SURGERY,183
A82024,SEASCALE HEALTH CENTRE,130
A82028,CASTLEHEAD MEDICAL CENTRE,145
A82029,THE CROFT SURGERY,110
A82031,SHAP MEDICAL PRACTICE,57
A82032,MARYPORT HEALTH SERVICES,441
A82035,BIRBECK MEDICAL GROUP,253
A82036,THE LAKES MEDICAL PRACTICE,210
A82037,SILLOTH GROUP MEDICAL PRACTICE,142
A82038,TEMPLE SOWERBY MEDICAL PRACTICE,79
A82041,LOWTHER MEDICAL CENTRE,422
A82044,FELLVIEW HEALTHCARE,566
A82047,JAMES STREET GROUP PRACT,841
A82055,ASPATRIA MEDICAL GROUP,229
A82075,MANSION HOUSE SURGERY,228
A82617,KIRKOSWALD SURGERY,37
A82620,GLENRIDDING HEALTH CENTRE,13
A82631,COURT THORN SURGERY,51
A82646,LONGTOWN MEDICAL CENTRE,142
A82654,WARWICK SQUARE GROUP PRACTICE,212
A86005,WEST FARM SURGERY,210
A86016,LANE END SURGERY,150
A86041,SWARLAND AVENUE SURGERY,120
A87002,SPRING TERRACE HEALTH CENTRE,579
A87004,COLLINGWOOD HEALTH GROUP,751
A87005,WHITLEY BAY HEALTH CENTRE,271
A87007,STEPHENSON PARK HEALTH GROUP,596
A87008,MARINE AVENUE MEDICAL CTR,122
A87009,PRIORY MEDICAL GROUP,357
A87011,BEAUMONT PARK SURGERY,94
A87012,WIDEOPEN MEDICAL CENTRE,231
A87013,BEWICKE MEDICAL CENTRE,338
A87016,THE VILLAGE GREEN SURGERY,361
A87017,WOODLANDS PARK HEALTH CTR,218
A87020,BRIDGE AND MONKSEATON MEDICAL PRACTICE,273
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,176
A87029,HADRIAN HEALTH CENTRE,590
A87030,REDBURN PARK MEDICAL CENTRE,198
A87612,WELLSPRING MEDICAL PRACT.,202
A87615,MALLARD MEDICAL PRACTICE,154
A86003,SAVILLE MEDICAL GROUP,501
A86004,PROSPECT MEDICAL CENTRE,268
A86006,ROSEWORTH SURGERY,79
A86008,PARK MEDICAL GROUP,240
A86010,BIDDLESTONE HEALTH GROUP,114
A86011,WALKER MEDICAL GROUP,434
A86012,WEST ROAD MEDICAL CENTRE,212
A86013,DENTON PARK MEDICAL GROUP,232
A86017,CRUDDAS PARK SURGERY,440
A86018,THE GROVE MEDICAL GROUP,149
A86020,JESMOND HEALTH PARTNERSHIP,252
A86021,HOLMSIDE MEDICAL GROUP,308
A86022,PARKWAY MEDICAL GROUP,172
A86023,BENFIELD PARK MEDICAL GROUP,285
A86024,HEATON ROAD SURGERY,217
A86025,WESTERHOPE MEDICAL GROUP,408
A86026,THROCKLEY PRIMARY CARE CENTRE,196
A86027,NEWCASTLE MEDICAL CENTRE,16
A86028,REGENT MEDICAL CENTRE,89
A86029,THORNFIELD MEDICAL GROUP,583
A86030,BETTS AVENUE MEDICAL GROUP,385
A86031,FENHAM HALL SURGERY,222
A86033,BRUNTON PARK,41
A86037,ELSWICK FAMILY PRACTICE,219
A86038,NEWBURN SURGERY,205
A86040,ST.ANTHONY'S HEALTH CENTRE,310
A86601,DENTON TURRET MEDICAL CENTRE,225
Y00184,DILSTON MEDICAL CENTRE,57
A84002,THE ROTHBURY PRACTICE,164
A84005,BEDLINGTONSHIRE MED.GROUP,358
A84006,ALNWICK MEDICAL GROUP,463
A84007,PONTELAND MEDICAL GROUP,139
A84008,BELFORD MEDICAL PRACTICE,120
A84009,RAILWAY MEDICAL GROUP,789
A84011,WHITE MEDICAL GROUP,103
A84013,THE GABLES MEDICAL GROUP,265
A84014,MARINE MEDICAL GROUP,467
A84016,PRUDHOE MEDICAL GROUP,170
A84020,GUIDEPOST MEDICAL GROUP,353
A84022,COQUET MEDICAL GROUP,384
A84025,CRAMLINGTON MEDICAL GROUP,229
A84026,WELL CLOSE MEDICAL GROUP,351
A84027,BELLINGHAM PRACTICE,77
A84028,SEATON PARK MEDICAL GROUP,623
A84029,NORTHUMBERLAND HEALTH,124
A84030,VILLAGE MEDICAL GROUP,302
A84031,GREYSTOKE SURGERY,248
A84034,HALTWHISTLE MEDICAL GROUP,214
A84035,RIVERSDALE SURGERY,88
A84036,VALENS MEDICAL PARTNERSHIP,1488
A84037,NETHERFIELD HOUSE,194
A84038,FORUM FAMILY PRACTICE,264
A84039,GAS HOUSE LANE SURGERY,71
A84040,HUMSHAUGH & WARK MED GRP,82
A84042,SCOTS GAP MEDICAL GROUP,39
A84044,UNION BRAE & NORHAM PRAC,231
A84045,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,102
A84047,BRANCH END SURGERY,86
A84604,WOOLER HEALTH,143
A84614,THE ADDERLANE SURGERY,60
A84619,ELSDON AVENUE SURGERY,145
A88001,VICTORIA MEDICAL CENTRE,113
A88002,FARNHAM MEDICAL CTR.,625
A88003,MARSDEN MEDICAL GROUP,734
A88004,MAYFIELD MEDICAL GROUP,286
A88005,WENLOCK ROAD SURGERY,190
A88006,TALBOT MEDICAL CENTRE,402
A88008,TRINITY MEDICAL CENTRE,239
A88009,DR THORNILEY-WALKER & PARTNERS,141
A88010,ALBERT ROAD SURGERY,150
A88012,ELLISON VIEW SURGERY,202
A88013,CENTRAL SURGERY,576
A88014,WEST VIEW SURGERY,111
A88015,ST GEORGE & RIVERSIDE MEDICAL PRACTICE,266
A88016,COLLIERY COURT MEDICAL GROUP,191
A88022,THE GLEN MEDICAL GROUP,305
A88023,WHITBURN SURGERY,165
A88025,THE G.P.SUITE,179
A88601,IMEARY MEDICAL GROUP,141
A88608,RAVENSWORTH SURGERY,205
A88613,EAST WING PRACTICE,149
A89001,DEERNESS PARK MEDICAL GROUP,518
A89002,RIVERVIEW SURGERY,277
A89004,HETTON GROUP PRACTICE,396
A89005,VILLETTE SURGERY,198
A89006,WEARSIDE MEDICAL PRACTICE - PALLION,233
A89007,PALLION FAMILY PRACTICE,273
A89008,RED HOUSE MEDICAL CENTRE,208
A89009,HERRINGTON MEDICAL CENTRE,232
A89010,THE STEPHENSON MEDICAL PRACTICE,386
A89011,VILLAGE SURGERY PARTNERSHIP,178
A89012,GALLERIES MEDICAL PRACTICE,397
A89013,THE NEW CITY MEDICAL GROUP,233
A89015,"FULWELL MEDICAL CENTRE,",226
A89016,ST BEDE MEDICAL CENTRE,251
A89017,MILLFIELD MEDICAL GROUP,427
A89018,ASHBURN MEDICAL CENTRE,206
A89019,BRIDGE VIEW MEDICAL GROUP,748
A89020,FORGE MEDICAL PRACTICE,286
A89021,KEPIER MEDICAL PRACTICE,266
A89022,CONCORD MEDICAL PRACTICE,163
A89023,"HOUGHTON MEDICAL GROUP,",350
A89024,THE BROADWAY MEDICAL PRACTICE,274
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,260
A89026,NEW WASHINGTON MEDICAL GROUP,223
A89027,SPRINGWELL MEDICAL GROUP,206
A89028,GRANGEWOOD SURGERY,208
A89030,WESTBOURNE MEDICAL GROUP,228
A89031,HYLTON MEDICAL GROUP,181
A89032,NEW SILKSWORTH MEDICAL PRACTICE,249
A89034,PARK LANE PRACTICE,69
A89035,SOUTHLANDS MEDICAL GROUP,351
A89036,CASTLETOWN MEDICAL CENTRE,71
A89040,MONKWEARMOUTH HEALTH CENTRE,165
A89041,HAPPY HOUSE SURGERY,248
A89614,SUNDERLAND GP ALLIANCE SOUTH HYLTON SURG,167
A89616,RICKLETON MEDICAL CENTRE,63
A89617,I J HEALTHCARE,136
A89623,CHESTER SURGERY,35
A81001,THE DENSHAM SURGERY,98
A81002,QUEENS PARK MEDICAL CENTRE,711
A81004,ACKLAM MEDICAL CENTRE,279
A81005,SPRINGWOOD SURGERY,194
A81006,TENNANT STREET MEDICAL PRACTICE,651
A81007,BANKHOUSE SURGERY,415
A81009,VILLAGE MEDICAL CENTRE,207
A81011,CHADWICK PRACTICE,454
A81012,WESTBOURNE MEDICAL CENTRE,267
A81013,BROTTON SURGERY,264
A81014,QUEENSTREE PRACTICE,174
A81016,PARK SURGERY,227
A81017,WOODBRIDGE PRACTICE,315
A81018,BENTLEY MEDICAL PRACTICE,483
A81019,CROSSFELL HEALTH CENTRE,322
A81020,MARTONSIDE MEDICAL CENTRE,193
A81021,NORMANBY MEDICAL CENTRE,830
A81022,HILLSIDE PRACTICE,365
A81023,THE ENDEAVOUR PRACTICE,227
A81025,THE DOVECOT SURGERY,113
A81026,LINTHORPE SURGERY,704
A81027,YARM MEDICAL PRACTICE,204
A81029,PROSPECT SURGERY,197
A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,377
A81031,HAVELOCK GRANGE PRACTICE,452
A81032,THE GARTH,361
A81034,THORNABY & BARWICK MEDICAL GROUP,478
A81035,NEWLANDS MEDICAL CENTRE,288
A81036,NORTON MEDICAL CENTRE,454
A81037,THE ERIMUS PRACTICE,276
A81038,HIRSEL MEDICAL CENTRE,115
A81039,EAGLESCLIFFE MEDICAL PRACTICE,192
A81040,MARSH HOUSE MEDICAL PRACTICE,233
A81041,HART MEDICAL PRACTICE,331
A81042,SOUTH GRANGE MEDICAL GROUP PRACTICE,661
A81044,MCKENZIE HOUSE SURGERY,714
A81045,THE COATHAM ROAD SURGERY,254
A81046,WOODLANDS FAMILY MEDICAL CENTRE,318
A81048,ZETLAND MEDICAL PRACTICE,214
A81049,KINGS MEDICAL CENTRE,251
A81051,CAMBRIDGE MEDICAL GROUP,171
A81052,THE GREEN HOUSE SURGERY,326
A81053,WOODSIDE SURGERY,261
A81054,THE SALTSCAR SURGERY,355
A81056,MELROSE SURGERY,78
A81057,KINGSWAY MEDICAL CENTRE,297
A81058,COULBY MEDICAL PRACTICE,284
A81060,WEST QUAY MEDICAL PRACTICE,161
A81063,THE HEADLAND MEDICAL CENTRE,199
A81064,THE DISCOVERY PRACTICE,212
A81065,THE ESTON SURGERY,174
A81066,PARK LANE SURGERY,83
A81067,ALMA MEDICAL CENTRE,494
A81070,MCKENZIE GROUP PRACTICE,176
A81602,DR RASOOL,74
A81608,ELM TREE SURGERY,347
A81610,THE ROSEBERRY PRACTICE,181
A81611,PARKWAY MEDICAL CENTRE,238
A81612,THE PATEL PRACTICE,94
A81618,HUNTCLIFF SURGERY,281
A81621,THORNTREE SURGERY,106
A81622,GLADSTONE HOUSE SURGERY,196
A81629,RIVERSIDE MEDICAL PRACTICE,245
A81631,WEST VIEW MILLENIUM SURGERY A,280
A81634,THE ARRIVAL PRACTICE,25
A83005,WHINFIELD MEDICAL PRACTICE,359
A83006,ORCHARD COURT SURGERY,239
A83010,MOORLANDS SURGERY,353
A83013,NEASHAM ROAD SURGERY,358
A83031,CARMEL MEDICAL PRACTICE,222
A83034,BLACKETTS MEDICAL PRACTICE,225
A83040,CLIFTON COURT MEDICAL PRACTICE,364
A83047,DENMARK STREET SURGERY,377
A83048,ROCKLIFFE COURT SURGERY,87
A83070,MIDDLETON AND DINSDALE MEDICAL PRACTICE,120
A83641,PARKGATE SURGERY,142
Y00286,THE RAVENSCAR SURGERY,119
