ICB plus Code,Commissioner / Provider Code,PCN,PCN Code,Practice,Practice Code,Items,Actual Cost,Year Month,BNF Chemical Substance,BNF Chemical Substance Code,List Size
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,NETHERFIELD HOUSE,A84037,4,47.35827758,202502,Terbutaline sulphate,0301011V0,5992
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,A84030,407,1166.690066,202412,Salbutamol,0301011R0,11234
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,A84030,17,197.3336296,202412,Terbutaline sulphate,0301011V0,11234
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,A84030,376,933.0019489,202501,Salbutamol,0301011R0,11257
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,A84030,13,126.3188232,202501,Terbutaline sulphate,0301011V0,11257
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,A84030,310,869.5919765,202502,Salbutamol,0301011R0,11277
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,A84030,17,197.3302899,202502,Terbutaline sulphate,0301011V0,11277
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,HADRIAN PRIMARY CARE ALLIANCE,Y05873,6,11.32227616,202412,Salbutamol,0301011R0,
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,HADRIAN PRIMARY CARE ALLIANCE,Y05873,3,5.9472,202501,Salbutamol,0301011R0,
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,HADRIAN PRIMARY CARE ALLIANCE,Y05873,3,5.9472,202502,Salbutamol,0301011R0,
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,NDUC NORTHUMBERLAND OOH,Y00661,49,100.0529791,202412,Salbutamol,0301011R0,
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,NDUC NORTHUMBERLAND OOH,Y00661,28,50.8491568,202501,Salbutamol,0301011R0,
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,NDUC NORTHUMBERLAND OOH,Y00661,31,78.82836806,202502,Salbutamol,0301011R0,
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,NORTHUMBERLAND COMMUNITY SERVICE,Y04169,3,5.36416123,202502,Salbutamol,0301011R0,
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,RIVERSDALE SURGERY,A84035,224,628.5966193,202412,Salbutamol,0301011R0,5950
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,RIVERSDALE SURGERY,A84035,3,23.69193955,202412,Terbutaline sulphate,0301011V0,5950
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,RIVERSDALE SURGERY,A84035,218,762.0054814,202501,Salbutamol,0301011R0,5965
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,RIVERSDALE SURGERY,A84035,3,31.57660579,202501,Terbutaline sulphate,0301011V0,5965
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,RIVERSDALE SURGERY,A84035,191,622.4043326,202502,Salbutamol,0301011R0,5964
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,RIVERSDALE SURGERY,A84035,2,15.79435919,202502,Terbutaline sulphate,0301011V0,5964
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,THE ADDERLANE SURGERY,A84614,115,315.3505925,202412,Salbutamol,0301011R0,2169
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,THE ADDERLANE SURGERY,A84614,1,7.897313184,202412,Terbutaline sulphate,0301011V0,2169
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,THE ADDERLANE SURGERY,A84614,96,265.7611121,202501,Salbutamol,0301011R0,2173
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,THE ADDERLANE SURGERY,A84614,1,7.897251447,202501,Terbutaline sulphate,0301011V0,2173
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,THE ADDERLANE SURGERY,A84614,85,233.5023952,202502,Salbutamol,0301011R0,2181
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,THE ADDERLANE SURGERY,A84614,1,7.897179596,202502,Terbutaline sulphate,0301011V0,2181
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,THE CRAMLINGTON HUB,Y06856,8,33.0392471,202412,Salbutamol,0301011R0,
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,THE CRAMLINGTON HUB,Y06856,6,15.32626111,202501,Salbutamol,0301011R0,
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,THE CRAMLINGTON HUB,Y06856,2,13.96446541,202502,Salbutamol,0301011R0,
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,UNIDENTIFIED DOCTORS,00L998,1,5.997334104,202412,Salbutamol,0301011R0,
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,UNIDENTIFIED DOCTORS,00L998,2,7.979687243,202501,Salbutamol,0301011R0,
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,DUMMY,-,UNIDENTIFIED DOCTORS,00L998,3,7.121612104,202502,Salbutamol,0301011R0,
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,514,1513.212875,202412,Salbutamol,0301011R0,12151
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,26,260.5245351,202412,Terbutaline sulphate,0301011V0,12151
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,492,1401.666718,202501,Salbutamol,0301011R0,12167
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,21,205.2665376,202501,Terbutaline sulphate,0301011V0,12167
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,403,1167.283682,202502,Salbutamol,0301011R0,12161
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,19,189.4703103,202502,Terbutaline sulphate,0301011V0,12161
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,CRAMLINGTON MEDICAL GROUP,A84025,269,1177.231998,202412,Salbutamol,0301011R0,5362
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,CRAMLINGTON MEDICAL GROUP,A84025,7,71.05101866,202412,Terbutaline sulphate,0301011V0,5362
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,CRAMLINGTON MEDICAL GROUP,A84025,271,823.9157746,202501,Salbutamol,0301011R0,5384
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,CRAMLINGTON MEDICAL GROUP,A84025,9,94.72981737,202501,Terbutaline sulphate,0301011V0,5384
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,CRAMLINGTON MEDICAL GROUP,A84025,244,764.9550071,202502,Salbutamol,0301011R0,5385
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,CRAMLINGTON MEDICAL GROUP,A84025,4,39.47349798,202502,Terbutaline sulphate,0301011V0,5385
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,ELSDON AVENUE SURGERY,A84619,149,333.080453,202412,Salbutamol,0301011R0,4258
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,ELSDON AVENUE SURGERY,A84619,5,55.25639229,202412,Terbutaline sulphate,0301011V0,4258
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,ELSDON AVENUE SURGERY,A84619,136,322.6330977,202501,Salbutamol,0301011R0,4288
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,ELSDON AVENUE SURGERY,A84619,2,15.79450289,202501,Terbutaline sulphate,0301011V0,4288
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,ELSDON AVENUE SURGERY,A84619,111,278.8906801,202502,Salbutamol,0301011R0,4289
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,ELSDON AVENUE SURGERY,A84619,3,31.57631838,202502,Terbutaline sulphate,0301011V0,4289
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,A84045,122,688.2995594,202412,Salbutamol,0301011R0,5261
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,A84045,3,23.69193955,202412,Terbutaline sulphate,0301011V0,5261
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,A84045,138,760.0125191,202501,Salbutamol,0301011R0,5265
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,A84045,5,39.48625724,202501,Terbutaline sulphate,0301011V0,5265
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,A84045,104,644.2972471,202502,Salbutamol,0301011R0,5258
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,A84045,3,23.69153879,202502,Terbutaline sulphate,0301011V0,5258
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,NORTHUMBERLAND HEALTH,A84029,222,445.3067866,202412,Salbutamol,0301011R0,4580
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,NORTHUMBERLAND HEALTH,A84029,2,15.79462637,202412,Terbutaline sulphate,0301011V0,4580
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,NORTHUMBERLAND HEALTH,A84029,206,496.4030754,202501,Salbutamol,0301011R0,4581
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,NORTHUMBERLAND HEALTH,A84029,3,23.69175434,202501,Terbutaline sulphate,0301011V0,4581
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,NORTHUMBERLAND HEALTH,A84029,155,317.3044163,202502,Salbutamol,0301011R0,4587
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,NORTHUMBERLAND HEALTH,A84029,3,23.69153879,202502,Terbutaline sulphate,0301011V0,4587
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,PONTELAND MEDICAL GROUP,A84007,202,676.4927476,202412,Salbutamol,0301011R0,10773
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,PONTELAND MEDICAL GROUP,A84007,3,31.57685274,202412,Terbutaline sulphate,0301011V0,10773
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,PONTELAND MEDICAL GROUP,A84007,248,832.4859431,202501,Salbutamol,0301011R0,10760
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,PONTELAND MEDICAL GROUP,A84007,4,31.58900579,202501,Terbutaline sulphate,0301011V0,10760
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,PONTELAND MEDICAL GROUP,A84007,174,533.0400811,202502,Salbutamol,0301011R0,10770
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,PONTELAND MEDICAL GROUP,A84007,3,31.57631838,202502,Terbutaline sulphate,0301011V0,10770
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,THE ROTHBURY PRACTICE,A84002,197,611.5047474,202412,Salbutamol,0301011R0,6165
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,THE ROTHBURY PRACTICE,A84002,8,110.4879846,202412,Terbutaline sulphate,0301011V0,6165
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,THE ROTHBURY PRACTICE,A84002,154,465.0933059,202501,Salbutamol,0301011R0,6176
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,THE ROTHBURY PRACTICE,A84002,4,78.89811447,202501,Terbutaline sulphate,0301011V0,6176
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,THE ROTHBURY PRACTICE,A84002,156,522.2969714,202502,Salbutamol,0301011R0,6164
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,THE ROTHBURY PRACTICE,A84002,6,94.69175515,202502,Terbutaline sulphate,0301011V0,6164
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,VALENS MEDICAL PARTNERSHIP,A84036,1996,7543.814543,202412,Salbutamol,0301011R0,49809
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,VALENS MEDICAL PARTNERSHIP,A84036,62,536.9428965,202412,Terbutaline sulphate,0301011V0,49809
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,VALENS MEDICAL PARTNERSHIP,A84036,1872,5993.448755,202501,Salbutamol,0301011R0,49685
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,VALENS MEDICAL PARTNERSHIP,A84036,63,615.7996129,202501,Terbutaline sulphate,0301011V0,49685
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,VALENS MEDICAL PARTNERSHIP,A84036,1599,5532.682896,202502,Salbutamol,0301011R0,49639
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,NORTHUMBRIA PCN,U09980,VALENS MEDICAL PARTNERSHIP,A84036,57,513.2174737,202502,Terbutaline sulphate,0301011V0,49639
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,385,1134.06563,202412,Salbutamol,0301011R0,12730
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,13,149.9745505,202412,Terbutaline sulphate,0301011V0,12730
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,410,1300.102547,202501,Salbutamol,0301011R0,12770
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,14,149.9857775,202501,Terbutaline sulphate,0301011V0,12770
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,367,1090.76526,202502,Salbutamol,0301011R0,12764
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,14,149.9844123,202502,Terbutaline sulphate,0301011V0,12764
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,GUIDEPOST MEDICAL GROUP,A84020,405,1191.670657,202412,Salbutamol,0301011R0,8044
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,GUIDEPOST MEDICAL GROUP,A84020,6,63.15370547,202412,Terbutaline sulphate,0301011V0,8044
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,GUIDEPOST MEDICAL GROUP,A84020,379,1342.78057,202501,Salbutamol,0301011R0,8046
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,GUIDEPOST MEDICAL GROUP,A84020,5,47.37110868,202501,Terbutaline sulphate,0301011V0,8046
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,GUIDEPOST MEDICAL GROUP,A84020,349,1195.138401,202502,Salbutamol,0301011R0,8044
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,GUIDEPOST MEDICAL GROUP,A84020,7,71.04981636,202502,Terbutaline sulphate,0301011V0,8044
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,SEATON PARK MEDICAL GROUP,A84028,815,2783.403642,202412,Salbutamol,0301011R0,19619
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,SEATON PARK MEDICAL GROUP,A84028,41,390.13711,202412,Terbutaline sulphate,0301011V0,19619
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,SEATON PARK MEDICAL GROUP,A84028,770,2410.485636,202501,Salbutamol,0301011R0,19649
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,SEATON PARK MEDICAL GROUP,A84028,33,326.9560478,202501,Terbutaline sulphate,0301011V0,19649
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,SEATON PARK MEDICAL GROUP,A84028,710,2238.258133,202502,Salbutamol,0301011R0,19728
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,SEATON PARK MEDICAL GROUP,A84028,35,334.8626517,202502,Terbutaline sulphate,0301011V0,19728
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,THE GABLES MEDICAL GROUP,A84013,199,716.0728276,202412,Salbutamol,0301011R0,6325
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,WANSBECK PCN,U11112,THE GABLES MEDICAL GROUP,A84013,6,55.26879229,202412,Terbutaline sulphate,0301011V0,6325
