date,sicbl,pcn,pcn_code,practice,practice_code,list_size,antidepressant_items,antidepressant_items_per_patient,antidepressant_patients,hrt_items,hrt_items_per_patient,hrt_patients,pct_patients_on_hrt,imd_score
202410,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1344,108,80.35714286,72,19,14.13690476,11,0.8,21.97
202411,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1347,90,66.81514477,60,29,21.52932442,16,1.2,21.97
202412,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1348,111,82.34421365,74,32,23.7388724,18,1.3,21.97
202501,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1349,116,85.98962194,77,29,21.49740549,16,1.2,21.97
202301,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1031,73,70.80504365,49,29,28.12803104,16,1.6,15.86
202302,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1032,74,71.70542636,49,29,28.10077519,16,1.6,15.86
202303,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1034,94,90.90909091,63,44,42.55319149,24,2.3,15.86
202304,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1037,81,78.1099325,54,24,23.1436837,13,1.3,15.86
202305,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1040,81,77.88461538,54,34,32.69230769,19,1.8,15.86
202306,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1040,74,71.15384615,49,28,26.92307692,16,1.5,15.86
202307,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1039,73,70.25986526,49,38,36.57362849,21,2,15.86
202308,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1039,70,67.37247353,47,28,26.94898941,16,1.5,15.86
202309,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1033,70,67.76379477,47,24,23.23330106,13,1.3,15.86
202310,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1028,73,71.01167315,49,32,31.12840467,18,1.8,15.86
202311,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1028,66,64.20233463,44,29,28.21011673,16,1.6,15.86
202312,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1026,74,72.12475634,49,21,20.46783626,12,1.2,15.86
202401,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1026,78,76.02339181,52,25,24.36647173,14,1.4,15.86
202402,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1027,64,62.31742941,43,23,22.39532619,13,1.3,15.86
202403,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1024,68,66.40625,45,25,24.4140625,14,1.4,15.86
202404,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1029,91,88.43537415,61,35,34.01360544,19,1.8,15.86
202405,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1028,88,85.60311284,59,26,25.29182879,14,1.4,15.86
202406,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1032,75,72.6744186,50,30,29.06976744,17,1.6,15.86
202407,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1036,88,84.94208494,59,25,24.13127413,14,1.4,15.86
202408,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1037,74,71.35969142,49,27,26.03664417,15,1.4,15.86
202409,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1036,90,86.87258687,60,28,27.02702703,16,1.5,15.86
202410,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1036,91,87.83783784,61,32,30.88803089,18,1.7,15.86
202411,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1034,92,88.97485493,61,26,25.1450677,14,1.4,15.86
202412,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1031,116,112.5121242,77,23,22.30843841,13,1.3,15.86
202501,00L,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,A84027,1034,106,102.5145068,71,30,29.01353965,17,1.6,15.86
202301,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1612,128,79.4044665,85,52,32.25806452,29,1.8,9.79
202302,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1607,110,68.45052894,73,51,31.73615432,28,1.7,9.79
202303,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1602,125,78.02746567,83,62,38.70162297,34,2.1,9.79
202304,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1604,108,67.33167082,72,31,19.32668329,17,1.1,9.79
202305,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1605,113,70.40498442,75,56,34.89096573,31,1.9,9.79
202306,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1607,141,87.74113255,94,43,26.75793404,24,1.5,9.79
202307,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1608,102,63.43283582,68,50,31.09452736,28,1.7,9.79
202308,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1608,117,72.76119403,78,54,33.58208955,30,1.9,9.79
202309,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1609,132,82.03853325,88,41,25.48166563,23,1.4,9.79
202310,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1603,108,67.37367436,72,50,31.19151591,28,1.7,9.79
202311,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1604,100,62.34413965,67,45,28.05486284,25,1.6,9.79
202312,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1603,104,64.87835309,69,45,28.07236432,25,1.6,9.79
202401,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1606,117,72.85180573,78,69,42.96388543,38,2.4,9.79
202402,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1603,91,56.76855895,61,47,29.32002495,26,1.6,9.79
202403,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1600,120,75,80,48,30,27,1.7,9.79
202404,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1606,109,67.87048568,73,55,34.24657534,31,1.9,9.79
202405,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1604,114,71.0723192,76,55,34.28927681,31,1.9,9.79
202406,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1604,122,76.05985037,81,51,31.79551122,28,1.7,9.79
202407,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1608,118,73.38308458,79,63,39.17910448,35,2.2,9.79
202408,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1611,111,68.90130354,74,49,30.41589075,27,1.7,9.79
202409,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1610,117,72.67080745,78,48,29.8136646,27,1.7,9.79
202410,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1610,108,67.08074534,72,45,27.95031056,25,1.6,9.79
202411,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1616,101,62.5,67,41,25.37128713,23,1.4,9.79
202412,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1615,117,72.44582043,78,57,35.29411765,32,2,9.79
202501,00L,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,A84047,1616,112,69.30693069,75,48,29.7029703,27,1.7,9.79
202301,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3073,201,65.4083957,134,73,23.75528799,41,1.3,4.68
202302,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3071,197,64.14848584,131,65,21.16574406,36,1.2,4.68
202303,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3069,221,72.01042685,147,89,28.99967416,49,1.6,4.68
202304,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3070,212,69.05537459,141,84,27.36156352,47,1.5,4.68
202305,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3078,225,73.0994152,150,91,29.56465237,51,1.7,4.68
202306,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3083,231,74.92701914,154,93,30.16542329,52,1.7,4.68
202307,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3078,198,64.32748538,132,81,26.31578947,45,1.5,4.68
202308,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3078,214,69.52566602,143,87,28.26510721,48,1.6,4.68
202309,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3085,218,70.66450567,145,106,34.35980551,59,1.9,4.68
202310,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3088,213,68.97668394,142,76,24.61139896,42,1.4,4.68
202311,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3093,240,77.59456838,160,89,28.77465244,49,1.6,4.68
202312,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3096,240,77.51937984,160,91,29.39276486,51,1.6,4.68
202401,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3092,240,77.61966365,160,79,25.54980595,44,1.4,4.68
202402,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3092,229,74.06209573,153,81,26.19663648,45,1.5,4.68
202403,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3093,225,72.74490786,150,89,28.77465244,49,1.6,4.68
202404,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3095,240,77.54442649,160,85,27.46365105,47,1.5,4.68
202405,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3098,240,77.46933505,160,83,26.79147837,46,1.5,4.68
202406,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3108,267,85.90733591,178,90,28.95752896,50,1.6,4.68
202407,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3114,258,82.85163776,172,96,30.82851638,53,1.7,4.68
202408,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3120,217,69.55128205,145,98,31.41025641,54,1.7,4.68
202409,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3117,239,76.67629131,159,82,26.30734681,46,1.5,4.68
202410,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3118,236,75.68954458,157,85,27.26106479,47,1.5,4.68
202411,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3121,234,74.97596924,156,81,25.95322012,45,1.4,4.68
202412,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3122,215,68.86611147,143,99,31.71044202,55,1.8,4.68
202501,00L,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,A84024,3125,231,73.92,154,89,28.48,49,1.6,4.68
202301,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3582,335,93.52317141,223,67,18.70463428,37,1,23.72
202302,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3578,324,90.55338178,216,77,21.52040246,43,1.2,23.72
202303,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3575,331,92.58741259,221,65,18.18181818,36,1,23.72
202304,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3575,346,96.78321678,231,84,23.4965035,47,1.3,23.72
202305,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3576,318,88.9261745,212,71,19.85458613,39,1.1,23.72
202306,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3575,372,104.0559441,248,73,20.41958042,41,1.1,23.72
202307,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3578,355,99.21743991,237,84,23.47680268,47,1.3,23.72
202308,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3578,351,98.09949693,234,83,23.19731694,46,1.3,23.72
202309,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3586,356,99.27495817,237,86,23.98215282,48,1.3,23.72
202310,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3594,353,98.21925431,235,71,19.75514747,39,1.1,23.72
202311,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3592,374,104.1202673,249,88,24.49888641,49,1.4,23.72
202312,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3596,371,103.1701891,247,66,18.35372636,37,1,23.72
202401,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3602,383,106.3298168,255,89,24.70849528,49,1.4,23.72
202402,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3615,332,91.8395574,221,75,20.74688797,42,1.2,23.72
202403,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3614,392,108.4670725,261,90,24.9031544,50,1.4,23.72
202404,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3617,351,97.0417473,234,82,22.67072159,46,1.3,23.72
202405,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3615,385,106.5006916,257,72,19.91701245,40,1.1,23.72
202406,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3610,368,101.9390582,245,78,21.6066482,43,1.2,23.72
202407,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3623,397,109.577698,265,69,19.04499034,38,1,23.72
202408,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3629,391,107.7431799,261,94,25.90245247,52,1.4,23.72
202409,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3627,371,102.2883926,247,73,20.12682658,41,1.1,23.72
202410,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3644,401,110.0439078,267,76,20.85620198,42,1.2,23.72
202411,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3639,361,99.20307777,241,100,27.48007694,56,1.5,23.72
202412,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3645,371,101.7832647,247,84,23.04526749,47,1.3,23.72
202501,00L,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,A84022,3650,400,109.5890411,267,84,23.01369863,47,1.3,23.72
202301,00L,WEST NORTHUMBERLAND PCN,U05512,CORBRIDGE HEALTH CENTRE,A84018,2152,110,51.11524164,73,55,25.55762082,31,1.4,6.05
202302,00L,WEST NORTHUMBERLAND PCN,U05512,CORBRIDGE HEALTH CENTRE,A84018,2153,117,54.34277752,78,49,22.75894101,27,1.3,6.05
202303,00L,WEST NORTHUMBERLAND PCN,U05512,CORBRIDGE HEALTH CENTRE,A84018,2156,129,59.83302412,86,74,34.32282004,41,1.9,6.05
202304,00L,WEST NORTHUMBERLAND PCN,U05512,CORBRIDGE HEALTH CENTRE,A84018,2155,113,52.4361949,75,53,24.59396752,29,1.3,6.05
202305,00L,WEST NORTHUMBERLAND PCN,U05512,CORBRIDGE HEALTH CENTRE,A84018,2155,116,53.82830626,77,79,36.65893271,44,2,6.05
