Year Month,Country,BNF Chemical Substance plus Code,Items,Actual Cost,ADQ Usage,DDD Usage,List Size
202401,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),125973,6056515.74867595,,,63271011
202402,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),231697,10739582.9944568,,,63310645
202402,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),1794,82626.937002641,,,63310645
202402,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),13949,630954.248174683,,,63310645
202402,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),118783,5708671.89441838,,,63310645
202403,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),240175,11134490.0803538,,,63331379
202403,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),1773,81548.7224051,,,63331379
202403,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),14835,672255.574551127,,,63331379
202403,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),121605,5841282.43051933,,,63331379
202404,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),251673,12257187.3597873,,,63378182
202404,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),1830,83990.6067333103,,,63378182
202404,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),16050,731895.298042408,,,63378182
202404,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),126214,6103496.88268922,,,63378182
202405,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),261530,12736044.3179505,,,63425860
202405,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),1996,92197.5462885727,,,63425860
202405,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),17891,815045.162023025,,,63425860
202405,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),129977,6297316.07788869,,,63425860
202406,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),246089,11994377.0796495,,,63461680
202406,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),1845,85873.1299809545,,,63461680
202406,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),17620,800937.645337656,,,63461680
202406,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),120807,5847537.07472697,,,63461680
202407,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),273197,13295181.9752557,,,63480506
202407,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),2134,99497.0615923761,,,63480506
202407,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),20127,913120.780823524,,,63480506
202407,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),133124,6445566.3173357,,,63480506
202408,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),266917,12996624.9980788,,,63531644
202408,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),1998,92554.9443650474,,,63531644
202408,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),20725,942338.152760468,,,63531644
202408,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),128659,6227948.93340861,,,63531644
202409,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),261704,12746391.2176526,,,63623320
202409,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),2064,96648.8948010646,,,63623320
202409,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),21390,970706.312423378,,,63623320
202409,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),124980,6056487.98286686,,,63623320
202410,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),283357,13799740.2785233,,,63722003
202410,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),2212,102501.118782945,,,63722003
202410,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),24444,1109944.83243179,,,63722003
202410,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),133808,6473919.62042562,,,63722003
202411,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),272542,13283028.3871793,,,63766922
202411,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),2103,98314.8890559317,,,63766922
202411,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),24209,1104099.54475206,,,63766922
202411,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),127621,6190234.41561062,,,63766922
202412,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),286684,13988452.1386677,,,63778023
202412,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),2190,102284.262361622,,,63778023
202412,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),26434,1204685.34115453,,,63778023
202412,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),131985,6398209.91590427,,,63778023
202501,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),293690,14309932.7820298,,,63811119
202501,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),2315,108230.46325812,,,63811119
202501,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),27309,1244720.99697324,,,63811119
202501,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),134619,6535151.02245507,,,63811119
202502,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),264128,12867271.9784086,,,63814878
202502,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),2063,96709.2268605566,,,63814878
202502,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),24875,1132624.54724706,,,63814878
202502,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),120395,5836294.80600089,,,63814878
202503,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),284182,13858798.5771584,,,63824983
202503,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),2180,102046.285976776,,,63824983
202503,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),27256,1242280.85147313,,,63824983
202503,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),128692,6243943.42535624,,,63824983
202504,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),289347,14096497.7128879,,,63829070
202504,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),2227,105368.76649097,,,63829070
202504,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),28130,1281623.86528979,,,63829070
202504,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),129875,6300923.98788812,,,63829070
202505,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),301599,14719233.8830462,,,63849271
202505,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),2286,107526.925808186,,,63849271
202505,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),29694,1357193.46936301,,,63849271
202505,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),134076,6517351.56219853,,,63849271
202506,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),294391,14357570.8926222,,,63859394
202506,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),2316,111026.077186425,,,63859394
202506,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),29820,1363029.3087303,,,63859394
202506,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),130282,6320715.79366123,,,63859394
202507,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),316224,15434019.1077007,,,63879648
202507,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),2447,116721.91312854,,,63879648
202507,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),33045,1510100.2613124,,,63879648
202507,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),140209,6812332.02940411,,,63879648
