Year Month,Country,BNF Section plus Code,BNF Chemical Substance plus Code,Items,Actual Cost,ADQ Usage,DDD Usage,List Size
202310,ENGLAND,Antibacterial drugs (0501),Doxycycline monohydrate (0501030Z0),4928,67993.6859939008,85980.2,85980.2,63044778
202310,ENGLAND,Antibacterial drugs (0501),Amikacin (0501040C0),1,9.67623782344974,,0.5,63044778
202310,ENGLAND,Antibacterial drugs (0501),Gentamicin sulfate (0501040H0),240,10862.6047780812,,2722.249997265,63044778
202310,ENGLAND,Antibacterial drugs (0501),Neomycin sulfate (0501040N0),1,46.9480138598729,3.5,2.8,63044778
202310,ENGLAND,Antibacterial drugs (0501),Tobramycin (0501040U0),56,39401.0608883904,,2272.66666613,63044778
202310,ENGLAND,Antibacterial drugs (0501),Azithromycin (0501050A0),70752,337843.8227794,532614.88,887691.466166977,63044778
202310,ENGLAND,Antibacterial drugs (0501),Clarithromycin (0501050B0),159263,1394163.76085732,2029092.5,2029092.5,63044778
202310,ENGLAND,Antibacterial drugs (0501),Erythromycin (0501050C0),26807,104228.297742367,410058.75,410058.75,63044778
202310,ENGLAND,Antibacterial drugs (0501),Erythromycin ethylsuccinate (0501050H0),16588,264448.897937096,123472,61736,63044778
202310,ENGLAND,Antibacterial drugs (0501),Erythromycin stearate (0501050N0),759,8390.21197049621,12174.75,12174.75,63044778
202310,ENGLAND,Antibacterial drugs (0501),Clindamycin hydrochloride (0501060D0),7673,126012.432607343,126551.48333304,63275.74166664,63044778
202310,ENGLAND,Antibacterial drugs (0501),Clindamycin phosphate (0501060E0),1,116.202190863573,,3.33333332,63044778
202310,ENGLAND,Antibacterial drugs (0501),Nitazoxanide (0501070AB),3,831.369346012744,,9,63044778
202310,ENGLAND,Antibacterial drugs (0501),Fidaxomicin (0501070AC),75,94862.9860662426,,760,63044778
202310,ENGLAND,Antibacterial drugs (0501),Fosfomycin trometamol (0501070AE),13605,89561.2149900025,,19638,63044778
202310,ENGLAND,Antibacterial drugs (0501),Chloramphenicol (0501070F0),3,988.930679809637,13.999999944,13.999999944,63044778
202310,ENGLAND,Antibacterial drugs (0501),Colistimethate sodium (0501070I0),2599,477223.283791229,,30205.588831217,63044778
202310,ENGLAND,Antibacterial drugs (0501),Fusidic acid (0501070M0),8,283.68884192153,74.99999925,74.99999925,63044778
202310,ENGLAND,Antibacterial drugs (0501),Sodium fusidate (0501070N0),103,5037.67025188701,1599.9999936,1600.00008,63044778
202310,ENGLAND,Antibacterial drugs (0501),Teicoplanin (0501070T0),31,1766.6934890776,,245.5,63044778
202310,ENGLAND,Antibacterial drugs (0501),Vancomycin hydrochloride (0501070U0),786,146999.77609975,9135.25,2284.0000001,63044778
202310,ENGLAND,Antibacterial drugs (0501),Linezolid (0501070W0),165,91520.5567674413,,1436.9999983,63044778
202310,ENGLAND,Antibacterial drugs (0501),Rifaximin (0501070X0),9687,1621160.88372533,,342579.916786823,63044778
202310,ENGLAND,Antibacterial drugs (0501),Pristinamycin (0501070Z0),10,14853.533111029,,280,63044778
202310,ENGLAND,Antibacterial drugs (0501),Co-trimoxazole(Trimethoprim/sulfamethoxazole) (0501080D0),20470,73669.7303053334,164336.25,,63044778
202310,ENGLAND,Antibacterial drugs (0501),Sulfadiazine (0501080J0),13,9003.1593509527,,1003.333332932,63044778
202310,ENGLAND,Antibacterial drugs (0501),Sulfapyridine (0501080V0),1,1728.24655142931,,25.0000012,63044778
202310,ENGLAND,Antibacterial drugs (0501),Trimethoprim (0501080W0),135405,290032.288319167,835329.4,835329.4,63044778
202310,ENGLAND,Antibacterial drugs (0501),Aminosalicylic acid (0501090A0),5,2273.70981180971,,18.33333326,63044778
202310,ENGLAND,Antibacterial drugs (0501),Cycloserine (0501090E0),1,414.872900447982,33.3333333,33.3333333,63044778
202310,ENGLAND,Antibacterial drugs (0501),Ethambutol hydrochloride (0501090H0),167,4137.33023473026,1881.916663319,1881.916663319,63044778
202310,ENGLAND,Antibacterial drugs (0501),Isoniazid (0501090K0),331,38438.9855558318,7250.433324637,7250.433324637,63044778
202310,ENGLAND,Antibacterial drugs (0501),Pyrazinamide (0501090N0),5,500.57269574225,133.3333332,133.3333332,63044778
202310,ENGLAND,Antibacterial drugs (0501),Rifabutin (0501090Q0),16,1542.28705763933,273,546,63044778
202310,ENGLAND,Antibacterial drugs (0501),Rifampicin (0501090R0),1356,90306.564254215,39917.249990445,39931.249990445,63044778
202310,ENGLAND,Antibacterial drugs (0501),Rifampicin combined preparations (0501090S0),243,5070.58374323843,5059.599999367,,63044778
202310,ENGLAND,Antibacterial drugs (0501),Clofazimine (0501100C0),8,1278.55854605969,280,280,63044778
202310,ENGLAND,Antibacterial drugs (0501),Dapsone (0501100H0),2016,27446.8542245944,101174,101174,63044778
202310,ENGLAND,Antibacterial drugs (0501),Metronidazole (0501110C0),102281,278982.612497253,,334886.990000548,63044778
202310,ENGLAND,Antibacterial drugs (0501),Ciprofloxacin (0501120L0),34647,128428.693113331,434021.266174554,325515.95,63044778
202310,ENGLAND,Antibacterial drugs (0501),Ofloxacin (0501120P0),3864,138563.293689475,67520.5,67520.5,63044778
202310,ENGLAND,Antibacterial drugs (0501),Levofloxacin (0501120X0),2688,66702.8391237254,70155,35077.5,63044778
202310,ENGLAND,Antibacterial drugs (0501),Moxifloxacin (0501120Y0),363,7240.03363050371,,5577,63044778
202310,ENGLAND,Antibacterial drugs (0501),Methenamine hippurate (0501130H0),30220,504664.005418029,,868884.5,63044778
202310,ENGLAND,Antibacterial drugs (0501),Nitrofurantoin (0501130R0),380672,2939833.17637956,2061599.4,2061599.4,63044778
202311,ENGLAND,Antibacterial drugs (0501),Benzylpenicillin sodium (Penicillin G) (0501011J0),15,88.4776594895616,18.5,6.166666652,63145164
202311,ENGLAND,Antibacterial drugs (0501),Phenoxymethylpenicillin (Penicillin V) (0501011P0),240016,1897701.07605659,3007854.5,1503927.25,63145164
202311,ENGLAND,Antibacterial drugs (0501),Flucloxacillin sodium (0501012G0),307955,855153.494145804,4211123.25,2105692.6251966,63145164
202311,ENGLAND,Antibacterial drugs (0501),Flucloxacillin magnesium (0501012H0),1,2.96263081049338,5,2.5,63145164
202311,ENGLAND,Antibacterial drugs (0501),Amoxicillin (0501013B0),1003717,2050618.23271506,11144142.9657463,5572071.48201369,63145164
202311,ENGLAND,Antibacterial drugs (0501),Amoxicillin sodium (0501013C0),7,207.60462533835,,32.666666559,63145164
202311,ENGLAND,Antibacterial drugs (0501),Ampicillin (0501013E0),11,605.734376615906,141.5,70.75,63145164
202311,ENGLAND,Antibacterial drugs (0501),Co-amoxiclav (Amoxicillin/clavulanic acid) (0501013K0),114086,388889.747592152,677761.999322238,767716.498234806,63145164
202311,ENGLAND,Antibacterial drugs (0501),Co-fluampicil(Flucloxacillin/ampicillin) (0501013L0),9,520.883051424461,89,,63145164
202311,ENGLAND,Antibacterial drugs (0501),Piperacillin sodium/tazobactam sodium (0501014S0),1,1243.05550900724,,24.000000024,63145164
202311,ENGLAND,Antibacterial drugs (0501),Pivmecillinam hydrochloride (0501015P0),27935,238458.805027957,,155681.666510985,63145164
202311,ENGLAND,Antibacterial drugs (0501),Cefaclor (0501021A0),319,4255.53468339236,4396.499989258,3297.375,63145164
202311,ENGLAND,Antibacterial drugs (0501),Cefadroxil (0501021B0),31,811.616763586616,384.5,192.25,63145164
202311,ENGLAND,Antibacterial drugs (0501),Cefixime (0501021C0),80,2209.08524043761,1252,626,63145164
202311,ENGLAND,Antibacterial drugs (0501),Cefotaxime sodium (0501021D0),1,3.28847383335249,,0.25,63145164
202311,ENGLAND,Antibacterial drugs (0501),Ceftriaxone sodium (0501021G0),53,2089.76229987503,,116,63145164
202311,ENGLAND,Antibacterial drugs (0501),Ceftazidime pentahydrate (0501021H0),4,177.457405024841,,26,63145164
202311,ENGLAND,Antibacterial drugs (0501),Cefuroxime sodium (0501021J0),6,196.160736398284,,20.75,63145164
202311,ENGLAND,Antibacterial drugs (0501),Cefuroxime axetil (0501021K0),167,4658.47751343806,2165.25,2165.25,63145164
202311,ENGLAND,Antibacterial drugs (0501),Cefalexin (0501021L0),76655,195909.845202296,641999.75,320999.875,63145164
202311,ENGLAND,Antibacterial drugs (0501),Cefradine (0501021M0),1058,22169.9158438933,16529.5,8264.75,63145164
202311,ENGLAND,Antibacterial drugs (0501),Meropenem (0501022A0),5,1554.67090689763,,24.9999999,63145164
202311,ENGLAND,Antibacterial drugs (0501),Ertapenem sodium (0501022B0),4,802.953975511821,,27,63145164
202311,ENGLAND,Antibacterial drugs (0501),Aztreonam (0501023A0),1,2069.71174904956,,27.999999972,63145164
202311,ENGLAND,Antibacterial drugs (0501),Demeclocycline hydrochloride (0501030F0),424,226372.685295278,7013.75,7013.75,63145164
202311,ENGLAND,Antibacterial drugs (0501),Doxycycline hyclate (0501030I0),386801,586893.344953911,4631162,4631162,63145164
202311,ENGLAND,Antibacterial drugs (0501),Lymecycline (0501030L0),73744,511723.08943974,1759606.5,2393064.84,63145164
202311,ENGLAND,Antibacterial drugs (0501),Minocycline hydrochloride (0501030P0),954,15541.3720030403,39456,19728,63145164
202311,ENGLAND,Antibacterial drugs (0501),Oxytetracycline (0501030T0),14257,40773.9037766402,354803.25,354803.25,63145164
202311,ENGLAND,Antibacterial drugs (0501),Tetracycline (0501030V0),1483,83487.7631324048,28009,28009,63145164
202311,ENGLAND,Antibacterial drugs (0501),Doxycycline monohydrate (0501030Z0),5217,71214.7410803913,90971,90971,63145164
202311,ENGLAND,Antibacterial drugs (0501),Amikacin (0501040C0),3,21.5810886377435,,1.1,63145164
202311,ENGLAND,Antibacterial drugs (0501),Gentamicin sulfate (0501040H0),213,12469.8712970173,,2950.999997102,63145164
202311,ENGLAND,Antibacterial drugs (0501),Tobramycin (0501040U0),56,34431.7040084558,,1991.333332686,63145164
202311,ENGLAND,Antibacterial drugs (0501),Azithromycin (0501050A0),73410,373945.310775498,543866.5,906444.16614429,63145164
202311,ENGLAND,Antibacterial drugs (0501),Clarithromycin (0501050B0),175611,1501389.92843994,2180144.5,2180144.5,63145164
202311,ENGLAND,Antibacterial drugs (0501),Erythromycin (0501050C0),27446,106453.545166269,417298.75,417298.75,63145164
202311,ENGLAND,Antibacterial drugs (0501),Erythromycin ethylsuccinate (0501050H0),19757,308718.683297889,142230.5,71115.25,63145164
202311,ENGLAND,Antibacterial drugs (0501),Erythromycin stearate (0501050N0),731,8164.04899923664,11813.5,11813.5,63145164
202311,ENGLAND,Antibacterial drugs (0501),Clindamycin hydrochloride (0501060D0),7339,120218.421593824,122029.22499994,61014.61249997,63145164
202311,ENGLAND,Antibacterial drugs (0501),Nitazoxanide (0501070AB),1,4384.01780183507,,10,63145164
202311,ENGLAND,Antibacterial drugs (0501),Fidaxomicin (0501070AC),72,89297.438434806,,714,63145164
202311,ENGLAND,Antibacterial drugs (0501),Fosfomycin trometamol (0501070AE),13601,89065.9533341432,,19470,63145164
202311,ENGLAND,Antibacterial drugs (0501),Chloramphenicol (0501070F0),2,838.531945237741,11.833333286,11.833333286,63145164
202311,ENGLAND,Antibacterial drugs (0501),Colistimethate sodium (0501070I0),2646,486429.793909034,,30818.511053558,63145164
202311,ENGLAND,Antibacterial drugs (0501),Fusidic acid (0501070M0),11,512.151775852983,134.99999865,134.99999865,63145164
202311,ENGLAND,Antibacterial drugs (0501),Sodium fusidate (0501070N0),102,4397.25296491081,1381.833327806,1381.833402425,63145164
202311,ENGLAND,Antibacterial drugs (0501),Teicoplanin (0501070T0),34,2172.71743669694,,295.5,63145164
202311,ENGLAND,Antibacterial drugs (0501),Vancomycin hydrochloride (0501070U0),774,152739.46685059,9671,2423.0000001,63145164
202311,ENGLAND,Antibacterial drugs (0501),Linezolid (0501070W0),172,92477.4440700122,,1452.4999992,63145164
202311,ENGLAND,Antibacterial drugs (0501),Rifaximin (0501070X0),9906,1674047.17128132,,352685.250125346,63145164
202311,ENGLAND,Antibacterial drugs (0501),Co-trimoxazole(Trimethoprim/sulfamethoxazole) (0501080D0),20864,74219.5868743156,166542.25,,63145164
202311,ENGLAND,Antibacterial drugs (0501),Sulfadiazine (0501080J0),6,4725.10997759801,,524.99999979,63145164
202311,ENGLAND,Antibacterial drugs (0501),Sulfapyridine (0501080V0),1,30020.724915663,,210.00001008,63145164
202311,ENGLAND,Antibacterial drugs (0501),Trimethoprim (0501080W0),135082,295019.001168912,828609.3,828609.3,63145164
202311,ENGLAND,Antibacterial drugs (0501),Aminosalicylic acid (0501090A0),1,310.995668239907,,2.49999999,63145164
202311,ENGLAND,Antibacterial drugs (0501),Cycloserine (0501090E0),1,416.135878872424,33.3333333,33.3333333,63145164
202311,ENGLAND,Antibacterial drugs (0501),Ethambutol hydrochloride (0501090H0),151,6063.31264754957,2634.333329382,2634.333329382,63145164
202311,ENGLAND,Antibacterial drugs (0501),Isoniazid (0501090K0),326,45270.4388309356,6808.899991636,6808.899991636,63145164
202311,ENGLAND,Antibacterial drugs (0501),Pyrazinamide (0501090N0),3,937.947519830226,106.66666596,106.66666596,63145164
202311,ENGLAND,Antibacterial drugs (0501),Rifabutin (0501090Q0),10,906.801232658611,160,320,63145164
202311,ENGLAND,Antibacterial drugs (0501),Rifampicin (0501090R0),1282,85646.7910642411,38183.983322911,38183.983322911,63145164
202311,ENGLAND,Antibacterial drugs (0501),Rifampicin combined preparations (0501090S0),76,1755.08090695735,2038.199999612,,63145164
202311,ENGLAND,Antibacterial drugs (0501),Clofazimine (0501100C0),2,359.595924578285,112,112,63145164
202311,ENGLAND,Antibacterial drugs (0501),Dapsone (0501100H0),1987,26839.2364937132,100903,100903,63145164
202311,ENGLAND,Antibacterial drugs (0501),Metronidazole (0501110C0),103188,284041.857690305,,336020.800000354,63145164
202311,ENGLAND,Antibacterial drugs (0501),Ciprofloxacin (0501120L0),33904,125824.832239171,426367.199516744,319775.4,63145164
202311,ENGLAND,Antibacterial drugs (0501),Ofloxacin (0501120P0),3984,138852.229374369,68078.5,68078.5,63145164
202311,ENGLAND,Antibacterial drugs (0501),Levofloxacin (0501120X0),2720,63548.4546638094,68953,34476.5,63145164
202311,ENGLAND,Antibacterial drugs (0501),Moxifloxacin (0501120Y0),358,6295.83352395139,,4832,63145164
202311,ENGLAND,Antibacterial drugs (0501),Methenamine hippurate (0501130H0),31929,536803.139199204,,922158.5,63145164
202311,ENGLAND,Antibacterial drugs (0501),Nitrofurantoin (0501130R0),364816,2845909.36532908,1988279.8,1988279.8,63145164
202311,ENGLAND,Antibacterial drugs (0501),Fosfomycin calcium (0501130S0),1,136.718955072225,,4.99999998,63145164
202312,ENGLAND,Antibacterial drugs (0501),Benzylpenicillin sodium (Penicillin G) (0501011J0),22,222.115428588752,48,15.999999967,63205534
202312,ENGLAND,Antibacterial drugs (0501),Phenoxymethylpenicillin (Penicillin V) (0501011P0),274353,2211198.11730365,3393930.25,1696965.125,63205534
202312,ENGLAND,Antibacterial drugs (0501),Flucloxacillin sodium (0501012G0),281995,786735.230190708,3874611.75,1937352.8751797,63205534
202312,ENGLAND,Antibacterial drugs (0501),Flucloxacillin magnesium (0501012H0),1,5.29649652298895,5,2.5,63205534
202312,ENGLAND,Antibacterial drugs (0501),Amoxicillin (0501013B0),1137428,2324650.58571293,12798451.6278152,6399225.81352743,63205534
202312,ENGLAND,Antibacterial drugs (0501),Amoxicillin sodium (0501013C0),9,285.288673822579,,41.333333189,63205534
202312,ENGLAND,Antibacterial drugs (0501),Ampicillin (0501013E0),16,654.55786131494,132.5,66.25,63205534
202312,ENGLAND,Antibacterial drugs (0501),Co-amoxiclav (Amoxicillin/clavulanic acid) (0501013K0),118537,490170.105657418,699411.665967255,797270.514776007,63205534
202312,ENGLAND,Antibacterial drugs (0501),Co-fluampicil(Flucloxacillin/ampicillin) (0501013L0),8,219.626814931963,70,,63205534
202312,ENGLAND,Antibacterial drugs (0501),Piperacillin sodium/tazobactam sodium (0501014S0),2,2487.87522701579,,48.000000048,63205534
202312,ENGLAND,Antibacterial drugs (0501),Pivmecillinam hydrochloride (0501015P0),28314,243973.547377959,,159186.66650748,63205534
202312,ENGLAND,Antibacterial drugs (0501),Cefaclor (0501021A0),353,4970.0012012223,5094.499987226,3820.875,63205534
202312,ENGLAND,Antibacterial drugs (0501),Cefadroxil (0501021B0),27,508.492170913447,240.5,120.25,63205534
202312,ENGLAND,Antibacterial drugs (0501),Cefixime (0501021C0),78,2938.30406785934,1652,826,63205534
202312,ENGLAND,Antibacterial drugs (0501),Ceftriaxone sodium (0501021G0),40,1893.00679515601,,105,63205534
202312,ENGLAND,Antibacterial drugs (0501),Ceftazidime pentahydrate (0501021H0),6,348.28453981923,,32.25,63205534
202312,ENGLAND,Antibacterial drugs (0501),Cefuroxime sodium (0501021J0),2,201.340573994679,,21.25,63205534
202312,ENGLAND,Antibacterial drugs (0501),Cefuroxime axetil (0501021K0),199,6204.49906459137,2903.5,2903.5,63205534
202312,ENGLAND,Antibacterial drugs (0501),Cefalexin (0501021L0),76823,200034.040605847,645398,322699,63205534
202312,ENGLAND,Antibacterial drugs (0501),Cefradine (0501021M0),1049,21808.3591272331,15845.25,7922.625,63205534
202312,ENGLAND,Antibacterial drugs (0501),Meropenem (0501022A0),10,3115.8540640976,,49.666666482,63205534
202312,ENGLAND,Antibacterial drugs (0501),Ertapenem sodium (0501022B0),3,714.236438231745,,24,63205534
202312,ENGLAND,Antibacterial drugs (0501),Demeclocycline hydrochloride (0501030F0),391,219206.001939242,6774.75,6774.75,63205534
202312,ENGLAND,Antibacterial drugs (0501),Doxycycline hyclate (0501030I0),444324,636493.633302127,5006181,5006181,63205534
202312,ENGLAND,Antibacterial drugs (0501),Lymecycline (0501030L0),69887,479950.829250968,1648839,2242421.04,63205534
202312,ENGLAND,Antibacterial drugs (0501),Minocycline hydrochloride (0501030P0),965,15730.2945142806,39709.5,19854.75,63205534
202312,ENGLAND,Antibacterial drugs (0501),Oxytetracycline (0501030T0),13932,39811.4337619005,346149.25,346149.25,63205534
202312,ENGLAND,Antibacterial drugs (0501),Tetracycline (0501030V0),1513,82604.1907480773,28231.75,28231.75,63205534
202312,ENGLAND,Antibacterial drugs (0501),Doxycycline monohydrate (0501030Z0),5411,69778.1825038104,89304.2,89304.2,63205534
202312,ENGLAND,Antibacterial drugs (0501),Amikacin (0501040C0),1,9.71258311076083,,0.5,63205534
202312,ENGLAND,Antibacterial drugs (0501),Gentamicin sulfate (0501040H0),216,9533.55991597025,,2380.208330958,63205534
202312,ENGLAND,Antibacterial drugs (0501),Tobramycin (0501040U0),62,53127.3573113403,,2979.999999438,63205534
202312,ENGLAND,Antibacterial drugs (0501),Azithromycin (0501050A0),75256,391865.367502242,554187.4,923645.666126201,63205534
202312,ENGLAND,Antibacterial drugs (0501),Clarithromycin (0501050B0),191807,1647871.83333507,2405922,2405922,63205534
202312,ENGLAND,Antibacterial drugs (0501),Erythromycin (0501050C0),29038,107657.855322979,421422.75,421422.75,63205534
202312,ENGLAND,Antibacterial drugs (0501),Erythromycin ethylsuccinate (0501050H0),25753,397133.867467305,178677.6,89338.8,63205534
202312,ENGLAND,Antibacterial drugs (0501),Erythromycin stearate (0501050N0),832,9509.43529435521,13632,13632,63205534
202312,ENGLAND,Antibacterial drugs (0501),Clindamycin hydrochloride (0501060D0),7213,120046.089504375,120314.225,60157.1125003,63205534
202312,ENGLAND,Antibacterial drugs (0501),Clindamycin phosphate (0501060E0),1,349.89104735492,,9.99999996,63205534
202312,ENGLAND,Antibacterial drugs (0501),Fidaxomicin (0501070AC),90,116777.71909666,,929,63205534
202312,ENGLAND,Antibacterial drugs (0501),Fosfomycin trometamol (0501070AE),13722,93188.3034563635,,20358,63205534
202312,ENGLAND,Antibacterial drugs (0501),Chloramphenicol (0501070F0),4,1654.52567398401,23.33333324,23.33333324,63205534
202312,ENGLAND,Antibacterial drugs (0501),Colistimethate sodium (0501070I0),2732,493624.944673556,,31208.433274462,63205534
202312,ENGLAND,Antibacterial drugs (0501),Fusidic acid (0501070M0),13,398.677981364567,104.99999895,104.99999895,63205534
202312,ENGLAND,Antibacterial drugs (0501),Sodium fusidate (0501070N0),108,5211.82628295745,1640.166660106,1640.166748675,63205534
202312,ENGLAND,Antibacterial drugs (0501),Teicoplanin (0501070T0),16,1096.09464396178,,149.5,63205534
202312,ENGLAND,Antibacterial drugs (0501),Vancomycin hydrochloride (0501070U0),689,133538.295801214,8274.1,2068.5250001,63205534
202312,ENGLAND,Antibacterial drugs (0501),Linezolid (0501070W0),157,85642.5511825346,,1334.9999992,63205534
202312,ENGLAND,Antibacterial drugs (0501),Rifaximin (0501070X0),9684,1661873.61821469,,349871.833456554,63205534
202312,ENGLAND,Antibacterial drugs (0501),Pristinamycin (0501070Z0),1,1251.27141295262,,20,63205534
202312,ENGLAND,Antibacterial drugs (0501),Co-trimoxazole(Trimethoprim/sulfamethoxazole) (0501080D0),21444,78390.3964719553,171638.75,,63205534
202312,ENGLAND,Antibacterial drugs (0501),Sulfadiazine (0501080J0),11,7838.60722344454,,863.333332988,63205534
202312,ENGLAND,Antibacterial drugs (0501),Trimethoprim (0501080W0),130740,279394.526618777,810746.525,810746.525,63205534
202312,ENGLAND,Antibacterial drugs (0501),Aminosalicylic acid (0501090A0),2,321.587105650874,,2.583333323,63205534
202312,ENGLAND,Antibacterial drugs (0501),Ethambutol hydrochloride (0501090H0),135,5808.95455083653,2237.916663516,2237.916663516,63205534
202312,ENGLAND,Antibacterial drugs (0501),Isoniazid (0501090K0),312,39727.7278323654,6620.333325667,6620.333325667,63205534
202312,ENGLAND,Antibacterial drugs (0501),Pyrazinamide (0501090N0),3,336.17565147976,97.333333236,97.333333236,63205534
202312,ENGLAND,Antibacterial drugs (0501),Rifabutin (0501090Q0),20,2375.43561565969,419,838,63205534
202312,ENGLAND,Antibacterial drugs (0501),Rifampicin (0501090R0),1196,85447.8369331128,37613.016659474,37613.016659474,63205534
202312,ENGLAND,Antibacterial drugs (0501),Rifampicin combined preparations (0501090S0),106,2929.38921003282,3300.866666344,,63205534
202312,ENGLAND,Antibacterial drugs (0501),Clofazimine (0501100C0),9,198.161794235301,146,146,63205534
202312,ENGLAND,Antibacterial drugs (0501),Dapsone (0501100H0),1968,25839.7105548593,99544,99544,63205534
202312,ENGLAND,Antibacterial drugs (0501),Metronidazole (0501110C0),97607,277794.106791419,,318475.6800003,63205534
202312,ENGLAND,Antibacterial drugs (0501),Tinidazole (0501110G0),1,2112.81077849754,28,14,63205534
202312,ENGLAND,Antibacterial drugs (0501),Ciprofloxacin (0501120L0),33134,123780.306187106,415481.466195896,311611.1,63205534
202312,ENGLAND,Antibacterial drugs (0501),Ofloxacin (0501120P0),3773,134114.004767124,64446,64446,63205534
202312,ENGLAND,Antibacterial drugs (0501),Levofloxacin (0501120X0),2934,71422.5731827602,75366,37706.333333352,63205534
202312,ENGLAND,Antibacterial drugs (0501),Moxifloxacin (0501120Y0),359,6607.64818354854,,5069,63205534
202312,ENGLAND,Antibacterial drugs (0501),Methenamine hippurate (0501130H0),32578,546347.734805456,,939106,63205534
202312,ENGLAND,Antibacterial drugs (0501),Nitrofurantoin (0501130R0),342047,2742953.49720809,1891173.95,1891173.95,63205534
202312,ENGLAND,Antibacterial drugs (0501),Fosfomycin calcium (0501130S0),1,22.7659828925859,,1.999999992,63205534
202401,ENGLAND,Antibacterial drugs (0501),Benzylpenicillin sodium (Penicillin G) (0501011J0),25,346.918604408665,78,25.999999958,63271011
202401,ENGLAND,Antibacterial drugs (0501),Phenoxymethylpenicillin (Penicillin V) (0501011P0),285862,1942223.07198305,3572837.75,1786418.875,63271011
202401,ENGLAND,Antibacterial drugs (0501),Flucloxacillin sodium (0501012G0),306510,844126.050842352,4185891.5,2093180.2502003,63271011
202401,ENGLAND,Antibacterial drugs (0501),Amoxicillin (0501013B0),1128990,2046871.25557564,12838516.964607,6419258.48216555,63271011
202401,ENGLAND,Antibacterial drugs (0501),Amoxicillin sodium (0501013C0),6,185.154529301897,,26.999999913,63271011
