Year Month,Country,BNF Chemical Substance plus Code,BNF Presentation,Supplier Name,Items,Actual Cost,ADQ Usage,List Size
202404,ENGLAND,Bisacodyl (0106020C0),Bisacodyl 2.74mg/ml rectal solution,Specials,392,6812.69732588677,25975.2,63378182
202404,ENGLAND,Bisacodyl (0106020C0),Bisacodyl 5mg/5ml oral suspension,Specials,2,148.3048,30,63378182
202404,ENGLAND,Bisacodyl (0106020C0),Bisacodyl 7.5mg suppositories,Specials,3,1289.6772,27,63378182
202404,ENGLAND,Magnesium sulfate (0106040L0),Magnesium sulfate mixture,Specials,3,1010.1772,,63378182
202404,ENGLAND,Diltiazem hydrochloride (0107010AA),Diltiazem 0.2% cream,Specials,67,4837.18414701233,,63378182
202404,ENGLAND,Diltiazem hydrochloride (0107010AA),Diltiazem 0.4% ointment,Specials,2,542.2748,,63378182
202404,ENGLAND,Diltiazem hydrochloride (0107010AA),Diltiazem 1% cream,Specials,1,182.3024,,63378182
202404,ENGLAND,Diltiazem hydrochloride (0107010AA),Diltiazem 2% cream,Specials,1175,15291.8592705503,,63378182
202404,ENGLAND,Diltiazem hydrochloride (0107010AA),Diltiazem 2% gel,Specials,1,11.9824,,63378182
202404,ENGLAND,Diltiazem hydrochloride (0107010AA),Diltiazem 2% ointment,Specials,984,11376.1574911778,,63378182
202404,ENGLAND,Diltiazem hydrochloride (0107010AA),Diltiazem 4% ointment,Specials,1,122.8124,,63378182
202404,ENGLAND,Sucralfate (0107010S0),Sucralfate 2g/20ml enema,Specials,23,9897.85961497261,,63378182
202404,ENGLAND,Sucralfate (0107010S0),Sucralfate 4% in Emulsifying ointment,Specials,1,401.2624,,63378182
202404,ENGLAND,Glyceryl trinitrate (0107040A0),Glyceryl trinitrate 0.02% ointment,Specials,3,217.4172,,63378182
202404,ENGLAND,Glyceryl trinitrate (0107040A0),Glyceryl trinitrate 0.2% cream,Specials,1,6.2124,,63378182
202404,ENGLAND,Glyceryl trinitrate (0107040A0),Glyceryl trinitrate 0.2% ointment,Specials,61,2243.10358576802,,63378182
202404,ENGLAND,Ursodeoxycholic acid (0109010U0),Ursodeoxycholic acid 300mg/5ml oral liquid,Specials,1,223.6424,,63378182
202404,ENGLAND,Bendroflumethiazide (0202010B0),Bendroflumethiazide 1.25mg/5ml oral suspension,Specials,2,426.8948,20,63378182
202404,ENGLAND,Bendroflumethiazide (0202010B0),Bendroflumethiazide 2.5mg/5ml oral suspension,Specials,37,1479.91646040849,1230,63378182
202404,ENGLAND,Bendroflumethiazide (0202010B0),Bendroflumethiazide 5mg/5ml oral suspension,Specials,4,531.4496,160,63378182
202404,ENGLAND,Chlorothiazide (0202010D0),Chlorothiazide 150mg/5ml oral suspension,Specials,6,361.355528921209,,63378182
202404,ENGLAND,Chlorothiazide (0202010D0),Chlorothiazide 200mg/5ml oral suspension,Specials,10,579.118361573732,,63378182
202404,ENGLAND,Chlorothiazide (0202010D0),Chlorothiazide 250mg/5ml oral solution,Specials,27,4052.4848,,63378182
202404,ENGLAND,Chlorothiazide (0202010D0),Chlorothiazide 250mg/5ml oral suspension,Specials,128,4088.9373095924,,63378182
202404,ENGLAND,Chlorothiazide (0202010D0),Chlorothiazide 25mg/5ml oral suspension,Specials,16,750.188108586482,,63378182
202404,ENGLAND,Hydrochlorothiazide (0202010L0),Hydrochlorothiazide 12.5mg tablets,Specials,1,25.6824,,63378182
202404,ENGLAND,Hydrochlorothiazide (0202010L0),Hydrochlorothiazide 50mg tablets,Specials,11,615.3264,,63378182
202404,ENGLAND,Indapamide (0202010P0),Indapamide 2.5mg/5ml oral suspension,Specials,11,989.148987138687,330,63378182
202404,ENGLAND,Metolazone (0202010V0),Metolazone 2.5mg tablets,Specials,598,54011.7607974998,3989,63378182
202404,ENGLAND,Furosemide (0202020L0),Furosemide 20mg/5ml oral liquid,Specials,1,9.6024,15,63378182
202404,ENGLAND,Furosemide (0202020L0),Furosemide 50mg/5ml oral liquid,Specials,1,17.9648655636684,37.5,63378182
202404,ENGLAND,Furosemide (0202020L0),Furosemide 5mg/5ml oral solution,Specials,21,928.233969691076,100.375,63378182
202404,ENGLAND,Furosemide (0202020L0),Furosemide 5mg/5ml oral suspension,Specials,1,410.983116850769,3.75,63378182
202404,ENGLAND,Spironolactone (0202030S0),Spironolactone 100mg/5ml oral solution,Specials,2,755.4148,440,63378182
202404,ENGLAND,Spironolactone (0202030S0),Spironolactone 100mg/5ml oral suspension,Specials,20,6159.71893429067,3996,63378182
202404,ENGLAND,Spironolactone (0202030S0),Spironolactone 10mg/5ml oral solution,Specials,9,2462.8016,101.6,63378182
202404,ENGLAND,Spironolactone (0202030S0),Spironolactone 10mg/5ml oral suspension,Specials,41,9721.67679518942,668,63378182
202404,ENGLAND,Spironolactone (0202030S0),Spironolactone 25mg/5ml oral solution,Specials,42,7487.5708,946.2,63378182
202404,ENGLAND,Spironolactone (0202030S0),Spironolactone 25mg/5ml oral suspension,Specials,114,2372.57231155934,4349.6,63378182
202404,ENGLAND,Spironolactone (0202030S0),Spironolactone 50mg/5ml oral solution,Specials,89,1657.58992708062,2059.2,63378182
202404,ENGLAND,Spironolactone (0202030S0),Spironolactone 50mg/5ml oral suspension,Specials,360,7827.52356499104,21274,63378182
202404,ENGLAND,Spironolactone (0202030S0),Spironolactone 5mg/5ml oral solution,Specials,29,2658.59009317913,281.6,63378182
202404,ENGLAND,Spironolactone (0202030S0),Spironolactone 5mg/5ml oral suspension,Specials,82,1161.59859080718,791,63378182
202404,ENGLAND,Amiodarone hydrochloride (0203020D0),Amiodarone 100mg/5ml oral solution,Specials,9,2580.0016,120,63378182
202404,ENGLAND,Amiodarone hydrochloride (0203020D0),Amiodarone 100mg/5ml oral suspension,Specials,18,810.897353593699,339,63378182
202404,ENGLAND,Amiodarone hydrochloride (0203020D0),Amiodarone 25mg/5ml oral liquid,Specials,8,2129.0492,36.7,63378182
202404,ENGLAND,Amiodarone hydrochloride (0203020D0),Amiodarone 50mg/5ml oral solution,Specials,23,833.6252,220,63378182
202404,ENGLAND,Amiodarone hydrochloride (0203020D0),Amiodarone 50mg/5ml oral suspension,Specials,11,289.4964,85,63378182
202404,ENGLAND,Disopyramide (0203020F0),Disopyramide 100mg capsules,Specials,3,2063.0172,63,63378182
202404,ENGLAND,Disopyramide (0203020F0),Disopyramide 50mg/5ml oral liquid,Specials,18,27954.9432,256.5,63378182
202404,ENGLAND,Flecainide acetate (0203020I0),Flecainide 10mg/5ml oral suspension,Specials,20,629.581645416268,105.24,63378182
202404,ENGLAND,Flecainide acetate (0203020I0),Flecainide 25mg/5ml oral solution,Specials,81,4078.85323183794,907.75,63378182
202404,ENGLAND,Flecainide acetate (0203020I0),Flecainide 25mg/5ml oral suspension,Specials,113,3778.64299908485,1338.75,63378182
202404,ENGLAND,Mexiletine hydrochloride (0203020P0),Mexiletine 100mg capsules,Specials,24,16258.5976,388.75,63378182
202404,ENGLAND,Mexiletine hydrochloride (0203020P0),Mexiletine 50mg capsules,Specials,2,493.3548,14,63378182
202404,ENGLAND,Carvedilol (020400080),Carvedilol 5mg/5ml oral suspension,Specials,89,3863.61471250498,1658.4,63378182
202404,ENGLAND,Bisoprolol fumarate (0204000H0),Bisoprolol 1.25mg/5ml oral solution,Specials,75,3322.78876541134,292.25,63378182
202404,ENGLAND,Bisoprolol fumarate (0204000H0),Bisoprolol 1.25mg/5ml oral suspension,Specials,44,1285.36827008278,186,63378182
202404,ENGLAND,Bisoprolol fumarate (0204000H0),Bisoprolol 10mg/5ml oral liquid,Specials,3,1157.4972,120,63378182
202404,ENGLAND,Bisoprolol fumarate (0204000H0),Bisoprolol 2.5mg/5ml oral solution,Specials,165,3647.40066849766,1581,63378182
202404,ENGLAND,Bisoprolol fumarate (0204000H0),Bisoprolol 2.5mg/5ml oral suspension,Specials,42,1336.75007769077,422,63378182
202404,ENGLAND,Bisoprolol fumarate (0204000H0),Bisoprolol 5mg/5ml oral solution,Specials,59,1392.53520063967,1151,63378182
202404,ENGLAND,Bisoprolol fumarate (0204000H0),Bisoprolol 5mg/5ml oral suspension,Specials,54,949.549105003851,971,63378182
202404,ENGLAND,Bisoprolol fumarate (0204000H0),Bisoprolol 625micrograms/5ml oral liquid,Specials,2,375.564359260261,5,63378182
202404,ENGLAND,Bisoprolol fumarate (0204000H0),Bisoprolol 7.5mg/5ml oral liquid,Specials,2,585.7548,45,63378182
202404,ENGLAND,Metoprolol tartrate (0204000K0),Metoprolol 12.5mg/5ml oral solution,Specials,2,96.6232014641721,14.9999994,63378182
202404,ENGLAND,Metoprolol tartrate (0204000K0),Metoprolol 12.5mg/5ml oral suspension,Specials,4,46.8287629435074,19.9999992,63378182
202404,ENGLAND,Metoprolol tartrate (0204000K0),Metoprolol 25mg/5ml oral liquid,Specials,4,3892.0496,53.3333328,63378182
202404,ENGLAND,Metoprolol tartrate (0204000K0),Metoprolol 50mg/5ml oral solution,Specials,4,186.045223904953,89.9999991,63378182
202404,ENGLAND,Metoprolol tartrate (0204000K0),Metoprolol 50mg/5ml oral suspension,Specials,1,927.7324,39.9999996,63378182
202404,ENGLAND,Nadolol (0204000M0),Nadolol 20mg/5ml oral solution,Specials,4,499.6696,15.833333175,63378182
202404,ENGLAND,Nadolol (0204000M0),Nadolol 20mg/5ml oral suspension,Specials,29,1660.02376872818,202.33333131,63378182
202404,ENGLAND,Nadolol (0204000M0),Nadolol 30mg/5ml oral solution,Specials,1,340.0524,5,63378182
202404,ENGLAND,Nadolol (0204000M0),Nadolol 30mg/5ml oral suspension,Specials,1,110.452645576416,5,63378182
202404,ENGLAND,Nadolol (0204000M0),Nadolol 40mg/5ml oral suspension,Specials,19,445.008157174286,185.99999814,63378182
202404,ENGLAND,Propranolol hydrochloride (0204000R0),Propranolol 10mg/5ml oral liquid,Specials,3,354.1472,37.4999985,63378182
202404,ENGLAND,Propranolol hydrochloride (0204000R0),Propranolol 40mg/5ml oral liquid,Specials,3,308.5672,69.33333264,63378182
202404,ENGLAND,Propranolol hydrochloride (0204000R0),Propranolol 50mg/5ml oral liquid,Specials,1,63.4924,49.9999998,63378182
202404,ENGLAND,Propranolol hydrochloride (0204000R0),Propranolol 5mg/5ml oral liquid,Specials,5,250.922,12.83333282,63378182
202404,ENGLAND,Sotalol hydrochloride (0204000T0),Sotalol 25mg/5ml oral suspension,Specials,4,126.592745899171,62.5,63378182
202404,ENGLAND,Hydralazine hydrochloride (0205010J0),Hydralazine 10mg tablets,Specials,4,701.8796,37.6,63378182
202404,ENGLAND,Hydralazine hydrochloride (0205010J0),Hydralazine 10mg/5ml oral suspension,Specials,8,312.333962246408,52.04,63378182
202404,ENGLAND,Clonidine hydrochloride (0205020E0),Clonidine 300micrograms/24hours transdermal patches,Specials,53,50520.7252990271,,63378182
202404,ENGLAND,Guanfacine hydrochloride (0205020G0),Guanfacine 1mg tablets,Specials,10,809.564,,63378182
202404,ENGLAND,Guanfacine hydrochloride (0205020G0),Guanfacine 2mg tablets,Specials,6,402.4144,,63378182
202404,ENGLAND,Doxazosin mesilate (0205040D0),Doxazosin 1mg/5ml oral solution,Specials,32,901.551202958842,348.5,63378182
202404,ENGLAND,Doxazosin mesilate (0205040D0),Doxazosin 1mg/5ml oral suspension,Specials,14,729.931676689499,153,63378182
202404,ENGLAND,Doxazosin mesilate (0205040D0),Doxazosin 4mg/5ml oral solution,Specials,81,2527.22088177628,4140,63378182
202404,ENGLAND,Doxazosin mesilate (0205040D0),Doxazosin 4mg/5ml oral suspension,Specials,13,627.965307391511,750,63378182
202404,ENGLAND,Captopril (0205051F0),Captopril 25mg/5ml oral liquid,Specials,9,660.3016,90,63378182
202404,ENGLAND,Captopril (0205051F0),Captopril 3mg/5ml oral liquid,Specials,1,250.7924,10.8,63378182
202404,ENGLAND,Captopril (0205051F0),Captopril 5mg/5ml oral liquid,Specials,1,97.3624,12,63378182
202404,ENGLAND,Enalapril maleate (0205051I0),Enalapril 1.25mg/5ml oral solution,Specials,15,1174.056,113.5,63378182
202404,ENGLAND,Enalapril maleate (0205051I0),Enalapril 1.25mg/5ml oral suspension,Specials,32,1035.18881455224,270,63378182
202404,ENGLAND,Enalapril maleate (0205051I0),Enalapril 10mg/5ml oral suspension,Specials,10,177.588411816555,410,63378182
202404,ENGLAND,Enalapril maleate (0205051I0),Enalapril 5mg/5ml oral solution,Specials,68,2632.96544575549,1586,63378182
202404,ENGLAND,Enalapril maleate (0205051I0),Enalapril 5mg/5ml oral suspension,Specials,50,1407.64457584893,780.5,63378182
202404,ENGLAND,Lisinopril (0205051L0),Lisinopril 2.5mg/5ml oral liquid,Specials,10,4357.084,85,63378182
202404,ENGLAND,Lisinopril (0205051L0),Lisinopril 20mg/5ml oral solution,Specials,12,825.871327700628,540,63378182
202404,ENGLAND,Lisinopril (0205051L0),Lisinopril 20mg/5ml oral suspension,Specials,12,510.466220199452,1000,63378182
202404,ENGLAND,Lisinopril (0205051L0),Lisinopril 5mg/5ml oral liquid,Specials,5,731.191920281034,75,63378182
202404,ENGLAND,Perindopril erbumine (0205051M0),Perindopril erbumine 4mg/5ml oral solution,Specials,21,431.856129594545,830,63378182
202404,ENGLAND,Perindopril erbumine (0205051M0),Perindopril erbumine 4mg/5ml oral suspension,Specials,16,513.992959265238,686,63378182
202404,ENGLAND,Ramipril (0205051R0),Ramipril 1.25mg/5ml oral liquid,Specials,1,789.4524,15,63378182
202404,ENGLAND,Ramipril (0205051R0),Ramipril 10mg/5ml oral solution,Specials,4,2393.8396,360,63378182
202404,ENGLAND,Ramipril (0205051R0),Ramipril 10mg/5ml oral suspension,Specials,7,1862.61760305393,432,63378182
202404,ENGLAND,Ramipril (0205051R0),Ramipril 2.5mg/5ml oral liquid,Specials,3,464.3072,32,63378182
202404,ENGLAND,Ramipril (0205051R0),Ramipril 5mg/5ml oral liquid,Specials,6,3374.1744,210,63378182
202404,ENGLAND,Irbesartan (0205052I0),Irbesartan 150mg/5ml oral suspension,Specials,7,1715.4568,168,63378182
202404,ENGLAND,Irbesartan (0205052I0),Irbesartan 300mg/5ml oral suspension,Specials,6,1617.9944,245.6,63378182
202404,ENGLAND,Losartan potassium (0205052N0),Losartan 100mg/5ml oral liquid,Specials,4,1281.5696,200,63378182
202404,ENGLAND,Losartan potassium (0205052N0),Losartan 12.5mg/5ml oral suspension,Specials,2,250.1548,15.6,63378182
202404,ENGLAND,Losartan potassium (0205052N0),Losartan 50mg/5ml oral solution,Specials,47,842.058655540571,1520,63378182
202404,ENGLAND,Losartan potassium (0205052N0),Losartan 50mg/5ml oral suspension,Specials,145,4535.33993520959,5404,63378182
202404,ENGLAND,Isosorbide dinitrate (0206010I0),Isosorbide dinitrate 20mg/5ml oral liquid,Specials,2,594.6248,,63378182
202404,ENGLAND,Isosorbide mononitrate (0206010K0),Isosorbide mononitrate 20mg/5ml oral solution,Specials,5,2666.062,,63378182
202404,ENGLAND,Isosorbide mononitrate (0206010K0),Isosorbide mononitrate 20mg/5ml oral suspension,Specials,32,1034.4405439202,,63378182
202404,ENGLAND,Amlodipine (0206020A0),Amlodipine 10mg/5ml oral liquid,Specials,3,538.4072,300,63378182
202404,ENGLAND,Amlodipine (0206020A0),Amlodipine 2.5mg/5ml oral suspension,Specials,1,98.0124,14,63378182
202404,ENGLAND,Amlodipine (0206020A0),Amlodipine 5mg/5ml oral liquid,Specials,16,1248.7384,547,63378182
202404,ENGLAND,Trimetazidine hydrochloride (0206020B0),Trimetazidine 20mg tablets,Specials,2,816.1748,,63378182
202404,ENGLAND,Diltiazem hydrochloride (0206020C0),Diltiazem 60mg/5ml oral solution,Specials,13,3123.5312,335.99999664,63378182
202404,ENGLAND,Diltiazem hydrochloride (0206020C0),Diltiazem 60mg/5ml oral suspension,Specials,17,635.085615486845,484.66666182,63378182
202404,ENGLAND,Nifedipine (0206020R0),Nifedipine 10mg/5ml oral suspension,Specials,34,1027.25496944786,599.999994,63378182
202404,ENGLAND,Nifedipine (0206020R0),Nifedipine 2.5mg/5ml oral suspension,Specials,7,1637.24143250847,24.999999,63378182
202404,ENGLAND,Nifedipine (0206020R0),Nifedipine 5mg/5ml oral suspension,Specials,47,1677.03381424867,426.6666624,63378182
202404,ENGLAND,Etilefrine hydrochloride (0207010G0),Etilefrine 5mg tablets,Specials,4,5759.0496,,63378182
202404,ENGLAND,Warfarin sodium (0208020V0),Warfarin 3mg/5ml oral liquid,Specials,3,2039.8372,,63378182
202404,ENGLAND,Warfarin sodium (0208020V0),Warfarin 5mg/5ml oral liquid,Specials,5,395.222,,63378182
202404,ENGLAND,Clopidogrel (0209000C0),Clopidogrel 1mg/ml oral suspension,Specials,57,1384.53413230292,135.9999966,63378182
202404,ENGLAND,Clopidogrel (0209000C0),Clopidogrel 25mg/5ml oral suspension,Specials,38,9822.32837420733,224.66666442,63378182
202404,ENGLAND,Clopidogrel (0209000C0),Clopidogrel 75mg/5ml oral solution,Specials,386,13029.6733192099,12150,63378182
202404,ENGLAND,Clopidogrel (0209000C0),Clopidogrel 75mg/5ml oral suspension,Specials,74,2463.59521243111,2150,63378182
202404,ENGLAND,Etamsylate (0211000D0),Etamsylate 500mg tablets,Specials,2,293.4248,,63378182
202404,ENGLAND,Tranexamic acid (0211000P0),Tranexamic acid 250mg/5ml oral suspension,Specials,24,1063.73503736197,,63378182
202404,ENGLAND,Tranexamic acid (0211000P0),Tranexamic acid 5% mouthwash,Specials,64,1454.3760052677,,63378182
202404,ENGLAND,Tranexamic acid (0211000P0),Tranexamic acid 500mg/5ml oral solution,Specials,133,3568.90720175722,,63378182
202404,ENGLAND,Tranexamic acid (0211000P0),Tranexamic acid 500mg/5ml oral suspension,Specials,77,2573.50266418882,,63378182
202404,ENGLAND,Rosuvastatin calcium (0212000AA),Rosuvastatin 20mg/5ml oral suspension,Specials,1,206.7924,80,63378182
202404,ENGLAND,Atorvastatin (0212000B0),Atorvastatin 10mg/5ml oral solution,Specials,26,1015.82139307121,941,63378182
202404,ENGLAND,Atorvastatin (0212000B0),Atorvastatin 10mg/5ml oral suspension,Specials,6,1071.54903716908,170,63378182
202404,ENGLAND,Atorvastatin (0212000B0),Atorvastatin 20mg/5ml oral solution,Specials,8,2125.6192,340,63378182
202404,ENGLAND,Atorvastatin (0212000B0),Atorvastatin 20mg/5ml oral suspension,Specials,54,27006.7896,3735,63378182
202404,ENGLAND,Colestipol hydrochloride (0212000K0),Colestipol 1g tablets,Specials,4,6113.8996,33.5,63378182
202404,ENGLAND,Pravastatin sodium (0212000X0),Pravastatin 40mg/5ml oral liquid,Specials,6,2083.2844,186.6666662,63378182
202404,ENGLAND,Pravastatin sodium (0212000X0),Pravastatin 5mg/5ml oral liquid,Specials,2,798.3048,7.99999992,63378182
202404,ENGLAND,Theophylline (0301030S0),Theophylline 50mg/5ml oral solution,Specials,18,1412.97915639558,372,63378182
