Year Month,Country,BNF Chemical Substance plus Code,Items,Actual Cost,ADQ Usage,List Size
202312,ENGLAND,Dihydrocodeine tartrate (0407020G0),117758,785956.296278543,2810573.33332604,63205534
202312,ENGLAND,Dipipanone hydrochloride (0407020H0),65,44924.5318796406,1355.25,63205534
202312,ENGLAND,Diamorphine hydrochloride (Systemic) (0407020K0),718,47649.8533626249,13414.666663574,63205534
202312,ENGLAND,Meptazinol hydrochloride (0407020L0),3829,58921.0550790007,105385.666561281,63205534
202312,ENGLAND,Methadone hydrochloride (0407020M0),2332,87447.6487544177,,63205534
202312,ENGLAND,Morphine sulfate (0407020Q0),429809,2311046.07037013,3292108.3715964,63205534
202312,ENGLAND,Pentazocine hydrochloride (0407020T0),89,9574.46962371072,3639.5,63205534
202312,ENGLAND,Pethidine hydrochloride (0407020V0),119,3492.70765229725,163,63205534
202401,ENGLAND,Tramadol hydrochloride (040702040),457078,1617040.88369079,11483439.6164754,63271011
202401,ENGLAND,Hydromorphone hydrochloride (040702050),452,11362.4638042684,7751.866653987,63271011
202401,ENGLAND,Fentanyl (0407020A0),59666,2171743.43152876,277473,63271011
202401,ENGLAND,Oxycodone hydrochloride (0407020AD),155362,2538514.23183244,1694477.44647992,63271011
202401,ENGLAND,Oxycodone hydrochloride/naloxone hydrochloride (0407020AF),2149,131059.464509155,,63271011
202401,ENGLAND,Tapentadol (0407020AG),13779,561936.37797094,,63271011
202401,ENGLAND,Buprenorphine (0407020B0),222311,3844906.04070197,2921849.0903754,63271011
202401,ENGLAND,Codeine phosphate (0407020C0),464853,1249509.49262925,10561313.6498709,63271011
202401,ENGLAND,Dihydrocodeine tartrate (0407020G0),119893,794753.223196995,2851858.08332403,63271011
202401,ENGLAND,Dipipanone hydrochloride (0407020H0),63,38070.9530415071,1145.5,63271011
202401,ENGLAND,Diamorphine hydrochloride (Systemic) (0407020K0),753,40742.8676090446,10280.999996572,63271011
202401,ENGLAND,Meptazinol hydrochloride (0407020L0),3484,52932.2634339342,94412.666572254,63271011
202401,ENGLAND,Methadone hydrochloride (0407020M0),2229,82393.0910645166,,63271011
202401,ENGLAND,Morphine sulfate (0407020Q0),431485,2361678.36762526,3280427.32993028,63271011
202401,ENGLAND,Pentazocine hydrochloride (0407020T0),80,9000.63368700261,3441,63271011
202401,ENGLAND,Pethidine hydrochloride (0407020V0),140,2539.08353058835,289.5,63271011
202402,ENGLAND,Tramadol hydrochloride (040702040),426130,1515667.89050392,10655259.1664848,63310645
202402,ENGLAND,Hydromorphone hydrochloride (040702050),425,11499.2832489109,7974.299988048,63310645
202402,ENGLAND,Fentanyl (0407020A0),55778,2025993.26653726,259050,63310645
202402,ENGLAND,Oxycodone hydrochloride (0407020AD),146751,2388082.49788749,1589614.41361973,63310645
202402,ENGLAND,Oxycodone hydrochloride/naloxone hydrochloride (0407020AF),1974,117143.376969055,,63310645
202402,ENGLAND,Tapentadol (0407020AG),12959,527905.387798739,,63310645
202402,ENGLAND,Buprenorphine (0407020B0),209924,3622291.10979251,2755744.99949597,63310645
202402,ENGLAND,Codeine phosphate (0407020C0),436680,1168633.33015773,9880541.65094221,63310645
202402,ENGLAND,Dihydrocodeine tartrate (0407020G0),112656,739675.420569248,2661834.74999433,63310645
202402,ENGLAND,Dipipanone hydrochloride (0407020H0),63,42664.9241809376,1284.25,63310645
202402,ENGLAND,Diamorphine hydrochloride (Systemic) (0407020K0),708,47769.4936411019,11591.33332981,63310645
202402,ENGLAND,Meptazinol hydrochloride (0407020L0),2932,45047.3114224319,80381.999919618,63310645
202402,ENGLAND,Methadone hydrochloride (0407020M0),1887,66212.8894887307,,63310645
202402,ENGLAND,Morphine hydrochloride (0407020P0),2,9.35351067821988,5,63310645
202402,ENGLAND,Morphine sulfate (0407020Q0),407315,2194935.46474107,3074212.30160272,63310645
202402,ENGLAND,Pentazocine hydrochloride (0407020T0),78,8581.98790542191,3302.75,63310645
202402,ENGLAND,Pethidine hydrochloride (0407020V0),125,6315.38521782146,226,63310645
202403,ENGLAND,Tramadol hydrochloride (040702040),435576,1567706.01381964,10930499.6164869,63331379
202403,ENGLAND,Hydromorphone hydrochloride (040702050),401,11589.6225744411,8108.68332134,63331379
202403,ENGLAND,Fentanyl (0407020A0),56541,2058356.45114662,264117,63331379
202403,ENGLAND,Oxycodone hydrochloride (0407020AD),148707,2377418.4228068,1602919.70234819,63331379
202403,ENGLAND,Oxycodone hydrochloride/naloxone hydrochloride (0407020AF),2011,121848.295631397,,63331379
202403,ENGLAND,Tapentadol (0407020AG),13189,537656.846722448,,63331379
202403,ENGLAND,Buprenorphine (0407020B0),213163,3720131.26741618,2793636.60554786,63331379
202403,ENGLAND,Codeine phosphate (0407020C0),444032,1188215.69762554,10060780.8173278,63331379
202403,ENGLAND,Dihydrocodeine tartrate (0407020G0),114240,746944.569978446,2692322.66665966,63331379
202403,ENGLAND,Dipipanone hydrochloride (0407020H0),66,46213.1159737528,1393,63331379
202403,ENGLAND,Diamorphine hydrochloride (Systemic) (0407020K0),699,51476.3979339603,12968.166663252,63331379
202403,ENGLAND,Meptazinol hydrochloride (0407020L0),3844,60415.8324301748,107985.666558681,63331379
202403,ENGLAND,Methadone hydrochloride (0407020M0),1353,43730.8353304558,,63331379
202403,ENGLAND,Morphine hydrochloride (0407020P0),3,3.60351676052849,3.5,63331379
202403,ENGLAND,Morphine sulfate (0407020Q0),413183,2229328.76090019,3113789.24993506,63331379
202403,ENGLAND,Pentazocine hydrochloride (0407020T0),83,9066.8493598054,3495.75,63331379
202403,ENGLAND,Pethidine hydrochloride (0407020V0),125,14418.1037523403,432,63331379
202404,ENGLAND,Tramadol hydrochloride (040702040),447230,1634245.99893013,11205016.3164763,63378182
202404,ENGLAND,Hydromorphone hydrochloride (040702050),395,11788.8934268449,7615.774989106,63378182
202404,ENGLAND,Fentanyl (0407020A0),57899,2225511.37500561,270486,63378182
202404,ENGLAND,Papaveretum (0407020AB),1,7.2124,,63378182
202404,ENGLAND,Oxycodone hydrochloride (0407020AD),154015,2568887.21101249,1661286.54083344,63378182
202404,ENGLAND,Oxycodone hydrochloride/naloxone hydrochloride (0407020AF),2010,129002.162999962,,63378182
202404,ENGLAND,Tapentadol (0407020AG),13750,591266.302354255,,63378182
202404,ENGLAND,Buprenorphine (0407020B0),224180,4137426.03070629,2936609.6358308,63378182
202404,ENGLAND,Codeine phosphate (0407020C0),460401,1111670.95180396,10420842.9834161,63378182
202404,ENGLAND,Dihydrocodeine tartrate (0407020G0),117969,678511.898719352,2783339.99999591,63378182
202404,ENGLAND,Dipipanone hydrochloride (0407020H0),57,39331.6074347908,1117.75,63378182
202404,ENGLAND,Diamorphine hydrochloride (Systemic) (0407020K0),666,47727.3542520228,12841.499997079,63378182
202404,ENGLAND,Meptazinol hydrochloride (0407020L0),3728,57869.1442033938,103219.99989678,63378182
202404,ENGLAND,Methadone hydrochloride (0407020M0),1174,40385.7686758984,,63378182
202404,ENGLAND,Morphine hydrochloride (0407020P0),1,2.0124,20,63378182
202404,ENGLAND,Morphine sulfate (0407020Q0),426313,2488017.11139292,3206593.75826928,63378182
202404,ENGLAND,Pentazocine hydrochloride (0407020T0),79,9056.64477396778,3338,63378182
202404,ENGLAND,Pethidine hydrochloride (0407020V0),121,20301.93165733,510,63378182
202405,ENGLAND,Tramadol hydrochloride (040702040),459112,1669135.03548327,11483336.333146,63425860
202405,ENGLAND,Hydromorphone hydrochloride (040702050),432,10852.6046646361,7077.049989068,63425860
202405,ENGLAND,Fentanyl (0407020A0),59153,2251785.3753331,274272,63425860
202405,ENGLAND,Oxycodone hydrochloride (0407020AD),157741,2649800.14525578,1696573.56277823,63425860
202405,ENGLAND,Oxycodone hydrochloride/naloxone hydrochloride (0407020AF),2062,130346.696244014,,63425860
202405,ENGLAND,Tapentadol (0407020AG),13929,598062.613363945,,63425860
202405,ENGLAND,Buprenorphine (0407020B0),228370,4199995.46650809,2984363.42369932,63425860
202405,ENGLAND,Codeine phosphate (0407020C0),471250,1138650.57963329,10673749.2607814,63425860
202405,ENGLAND,Dihydrocodeine tartrate (0407020G0),120351,689337.744371275,2833840.91665955,63425860
202405,ENGLAND,Dipipanone hydrochloride (0407020H0),67,45461.9885822953,1290.25,63425860
202405,ENGLAND,Diamorphine hydrochloride (Systemic) (0407020K0),588,47344.1214503037,12435.666663912,63425860
202405,ENGLAND,Meptazinol hydrochloride (0407020L0),3654,56798.0886061361,101293.666565373,63425860
202405,ENGLAND,Methadone hydrochloride (0407020M0),944,34008.3628183618,,63425860
202405,ENGLAND,Morphine sulfate (0407020Q0),437982,2515763.54345007,3286358.52826463,63425860
202405,ENGLAND,Pentazocine hydrochloride (0407020T0),73,8283.17355200851,3036,63425860
202405,ENGLAND,Pethidine hydrochloride (0407020V0),121,13651.1284045361,346,63425860
202406,ENGLAND,Tramadol hydrochloride (040702040),422410,1531788.44088635,10558408.3331521,63461680
202406,ENGLAND,Hydromorphone hydrochloride (040702050),406,11692.5467786146,7519.47498881,63461680
202406,ENGLAND,Fentanyl (0407020A0),54443,2087565.37717142,253185,63461680
202406,ENGLAND,Oxycodone hydrochloride (0407020AD),146459,2466198.15443507,1570881.44674414,63461680
202406,ENGLAND,Oxycodone hydrochloride/naloxone hydrochloride (0407020AF),1873,120255.073241203,,63461680
202406,ENGLAND,Tapentadol (0407020AG),12900,548663.410680621,,63461680
202406,ENGLAND,Buprenorphine (0407020B0),215066,3915956.1144507,2817067.12069928,63461680
202406,ENGLAND,Codeine phosphate (0407020C0),436943,1411810.07235602,9911206.98431606,63461680
202406,ENGLAND,Dihydrocodeine tartrate (0407020G0),110780,636991.813042758,2607816.49999506,63461680
202406,ENGLAND,Dipipanone hydrochloride (0407020H0),60,45918.3093176949,1303.5,63461680
202406,ENGLAND,Diamorphine hydrochloride (Systemic) (0407020K0),480,37738.3906433173,9655.499997626,63461680
202406,ENGLAND,Meptazinol hydrochloride (0407020L0),3502,53508.6484262067,95400.999904599,63461680
202406,ENGLAND,Methadone hydrochloride (0407020M0),529,17524.8189580996,,63461680
202406,ENGLAND,Morphine hydrochloride (0407020P0),1,1.9024,1,63461680
202406,ENGLAND,Morphine sulfate (0407020Q0),403947,2307076.17735276,3029834.11993807,63461680
202406,ENGLAND,Pentazocine hydrochloride (0407020T0),72,9124.51768688816,3344.5,63461680
202406,ENGLAND,Pethidine hydrochloride (0407020V0),108,8574.61822956726,172.5,63461680
202407,ENGLAND,Tramadol hydrochloride (040702040),459721,1859462.84872108,11481929.1831404,63480506
202407,ENGLAND,Hydromorphone hydrochloride (040702050),382,10531.1414312135,6874.866655966,63480506
202407,ENGLAND,Fentanyl (0407020A0),59369,2276282.38939727,272307,63480506
202407,ENGLAND,Oxycodone hydrochloride (0407020AD),160045,2663377.48615992,1703174.462576,63480506
202407,ENGLAND,Oxycodone hydrochloride/naloxone hydrochloride (0407020AF),2037,128440.492804143,,63480506
202407,ENGLAND,Tapentadol (0407020AG),14171,602117.43000717,,63480506
202407,ENGLAND,Buprenorphine (0407020B0),233722,4210810.72230875,3058942.66611035,63480506
202407,ENGLAND,Codeine phosphate (0407020C0),475303,1566191.20959814,10792825.3163274,63480506
202407,ENGLAND,Dihydrocodeine tartrate (0407020G0),121346,717557.246694728,2858152.8333286,63480506
202407,ENGLAND,Dipipanone hydrochloride (0407020H0),58,45121.0275364215,1281.5,63480506
202407,ENGLAND,Diamorphine hydrochloride (Systemic) (0407020K0),465,41965.1149025644,11447.666664465,63480506
202407,ENGLAND,Meptazinol hydrochloride (0407020L0),3781,57593.9069163398,102644.333230689,63480506
202407,ENGLAND,Methadone hydrochloride (0407020M0),485,20511.6420581055,,63480506
202407,ENGLAND,Morphine sulfate (0407020Q0),438393,2551683.46299607,3255598.31660054,63480506
202407,ENGLAND,Pentazocine hydrochloride (0407020T0),83,9166.47802186471,3294.5,63480506
202407,ENGLAND,Pethidine hydrochloride (0407020V0),135,16976.4925775545,362,63480506
202408,ENGLAND,Tramadol hydrochloride (040702040),441075,1635276.16758309,11020132.7998138,63531644
202408,ENGLAND,Hydromorphone hydrochloride (040702050),386,10797.7558300407,7058.54998849,63531644
202408,ENGLAND,Fentanyl (0407020A0),56940,2182889.8958006,262614,63531644
202408,ENGLAND,Oxycodone hydrochloride (0407020AD),155470,2558428.8625463,1650202.81276071,63531644
202408,ENGLAND,Oxycodone hydrochloride/naloxone hydrochloride (0407020AF),1970,123605.767799785,,63531644
202408,ENGLAND,Tapentadol (0407020AG),13555,574967.11278931,,63531644
202408,ENGLAND,Buprenorphine (0407020B0),226043,4042526.43703415,2953027.51461293,63531644
202408,ENGLAND,Codeine phosphate (0407020C0),459080,1600870.64852655,10410633.9279944,63531644
202408,ENGLAND,Dihydrocodeine tartrate (0407020G0),116386,662657.140257312,2715612.33332739,63531644
202408,ENGLAND,Dipipanone hydrochloride (0407020H0),69,48326.0192313628,1371.5,63531644
202408,ENGLAND,Diamorphine hydrochloride (Systemic) (0407020K0),477,45763.492001671,12067.333330831,63531644
202408,ENGLAND,Meptazinol hydrochloride (0407020L0),3689,55384.6070012439,98773.999901226,63531644
202408,ENGLAND,Methadone hydrochloride (0407020M0),347,20257.0845280533,,63531644
202408,ENGLAND,Morphine hydrochloride (0407020P0),1,0.6124,0.6,63531644
202408,ENGLAND,Morphine sulfate (0407020Q0),425280,2474666.04112301,3182383.11493596,63531644
202408,ENGLAND,Pentazocine hydrochloride (0407020T0),68,8226.48275898062,3039,63531644
202408,ENGLAND,Pethidine hydrochloride (0407020V0),112,11897.7918239094,300,63531644
202409,ENGLAND,Tramadol hydrochloride (040702040),426641,1561533.66560582,10621952.6831549,63623320
202409,ENGLAND,Hydromorphone hydrochloride (040702050),380,10781.3110933824,6678.199988695,63623320
202409,ENGLAND,Fentanyl (0407020A0),54714,2093021.09386904,250251,63623320
202409,ENGLAND,Oxycodone hydrochloride (0407020AD),148933,2451738.38389531,1573927.7465022,63623320
202409,ENGLAND,Oxycodone hydrochloride/naloxone hydrochloride (0407020AF),1866,117666.607619299,,63623320
202409,ENGLAND,Tapentadol (0407020AG),13152,555847.437490364,,63623320
202409,ENGLAND,Buprenorphine (0407020B0),218605,3895469.51683877,2852838.84796945,63623320
202409,ENGLAND,Codeine phosphate (0407020C0),451335,1220906.83762304,10177963.039384,63623320
202409,ENGLAND,Dihydrocodeine tartrate (0407020G0),113119,641228.985348265,2637374.24999683,63623320
202409,ENGLAND,Dipipanone hydrochloride (0407020H0),57,40659.2468,1153.25,63623320
202409,ENGLAND,Diamorphine hydrochloride (Systemic) (0407020K0),470,38799.1324257995,10642.66666457,63623320
202409,ENGLAND,Meptazinol hydrochloride (0407020L0),3524,52743.9376508011,94049.666572617,63623320
202409,ENGLAND,Methadone hydrochloride (0407020M0),282,14843.9611293684,,63623320
202409,ENGLAND,Morphine hydrochloride (0407020P0),1,1.8324,2,63623320
202409,ENGLAND,Morphine sulfate (0407020Q0),404161,2360937.8600623,2991573.95994023,63623320
202409,ENGLAND,Pentazocine hydrochloride (0407020T0),73,8652.36852343774,3255.5,63623320
202409,ENGLAND,Pethidine hydrochloride (0407020V0),109,4188.59154471057,153.5,63623320
202410,ENGLAND,Tramadol hydrochloride (040702040),451153,1567012.16966444,11215132.3498104,63722003
202410,ENGLAND,Hydromorphone hydrochloride (040702050),376,10011.7714017807,6393.191655549,63722003
202410,ENGLAND,Fentanyl (0407020A0),57511,2173918.21358964,265125,63722003
202410,ENGLAND,Oxycodone hydrochloride (0407020AD),159495,2691309.52182823,1671046.80143521,63722003
202410,ENGLAND,Oxycodone hydrochloride/naloxone hydrochloride (0407020AF),1986,124843.727328677,,63722003
202410,ENGLAND,Tapentadol (0407020AG),13919,580738.935661764,,63722003
202410,ENGLAND,Buprenorphine (0407020B0),233486,4130846.05964838,3045101.09035607,63722003
202410,ENGLAND,Codeine phosphate (0407020C0),478819,1206825.70597326,10780145.9829015,63722003
202410,ENGLAND,Dihydrocodeine tartrate (0407020G0),119961,672878.838834113,2775480.41666069,63722003
202410,ENGLAND,Dipipanone hydrochloride (0407020H0),62,48761.0542429307,1385.25,63722003
202410,ENGLAND,Diamorphine hydrochloride (Systemic) (0407020K0),528,48468.6637573518,13554.166664002,63722003
202410,ENGLAND,Meptazinol hydrochloride (0407020L0),3639,54185.0155172545,96658.666570008,63722003
202410,ENGLAND,Methadone hydrochloride (0407020M0),284,14045.687080546,,63722003
202410,ENGLAND,Morphine hydrochloride (0407020P0),1,2.6324,10,63722003
202410,ENGLAND,Morphine sulfate (0407020Q0),441276,2564306.341066,3256606.92326528,63722003
202410,ENGLAND,Pentazocine hydrochloride (0407020T0),67,7774.29004481403,2825.5,63722003
202410,ENGLAND,Pethidine hydrochloride (0407020V0),121,6081.13580423702,411.5,63722003
202411,ENGLAND,Tramadol hydrochloride (040702040),426070,1479219.39607067,10606984.5498211,63766922
202411,ENGLAND,Hydromorphone hydrochloride (040702050),328,8844.81898254656,5738.849990098,63766922
202411,ENGLAND,Fentanyl (0407020A0),54190,2046757.64176439,249012,63766922
202411,ENGLAND,Oxycodone hydrochloride (0407020AD),151748,2561401.1173583,1590675.16292926,63766922
202411,ENGLAND,Oxycodone hydrochloride/naloxone hydrochloride (0407020AF),1857,117728.508516009,,63766922
202411,ENGLAND,Tapentadol (0407020AG),13243,554824.844730994,,63766922
202411,ENGLAND,Buprenorphine (0407020B0),221725,3912158.76487722,2891968.0903847,63766922
202411,ENGLAND,Codeine phosphate (0407020C0),453410,1144532.15928431,10234489.650466,63766922
202411,ENGLAND,Dihydrocodeine tartrate (0407020G0),113400,632507.214104392,2622199.33332756,63766922
202411,ENGLAND,Dipipanone hydrochloride (0407020H0),62,46082.2098856614,1309.25,63766922
202411,ENGLAND,Diamorphine hydrochloride (Systemic) (0407020K0),511,49101.3976346489,13689.8333306,63766922
202411,ENGLAND,Meptazinol hydrochloride (0407020L0),3445,52023.8500492064,92769.666573897,63766922
202411,ENGLAND,Methadone hydrochloride (0407020M0),513,27185.2579295896,,63766922
202411,ENGLAND,Morphine hydrochloride (0407020P0),2,5.4548,3,63766922
202411,ENGLAND,Morphine sulfate (0407020Q0),415239,2414031.92593577,3057481.97493221,63766922
202411,ENGLAND,Pentazocine hydrochloride (0407020T0),67,8078.36589574353,2948,63766922
202411,ENGLAND,Pethidine hydrochloride (0407020V0),155,6928.79011955043,885,63766922
202412,ENGLAND,Tramadol hydrochloride (040702040),437709,1540112.56638405,10932412.2664883,63778023
202412,ENGLAND,Hydromorphone hydrochloride (040702050),356,10509.1101325254,6738.574988444,63778023
202412,ENGLAND,Fentanyl (0407020A0),55632,2105698.42943561,256350,63778023
202412,ENGLAND,Oxycodone hydrochloride (0407020AD),157740,2653708.47828846,1646131.96812182,63778023
202412,ENGLAND,Oxycodone hydrochloride/naloxone hydrochloride (0407020AF),1866,118870.876627523,,63778023
202412,ENGLAND,Tapentadol (0407020AG),13742,575197.152875599,,63778023
202412,ENGLAND,Buprenorphine (0407020B0),229629,4015595.3311197,2987415.51460603,63778023
202412,ENGLAND,Codeine phosphate (0407020C0),462370,1174709.14046617,10518196.7056461,63778023
202412,ENGLAND,Dihydrocodeine tartrate (0407020G0),116900,654687.681956957,2714355.58333038,63778023
202412,ENGLAND,Dipipanone hydrochloride (0407020H0),65,48773.4710783532,1384.25,63778023
202412,ENGLAND,Diamorphine hydrochloride (Systemic) (0407020K0),523,44693.715477023,12243.833331037,63778023
202412,ENGLAND,Meptazinol hydrochloride (0407020L0),3488,52390.1103352249,93468.666573198,63778023
202412,ENGLAND,Methadone hydrochloride (0407020M0),683,29624.0820760912,,63778023
202412,ENGLAND,Morphine hydrochloride (0407020P0),1,5.6724,4,63778023
202412,ENGLAND,Morphine sulfate (0407020Q0),431119,2519409.7429104,3176117.11492767,63778023
202412,ENGLAND,Pentazocine hydrochloride (0407020T0),73,8011.18552069472,2887.5,63778023
202412,ENGLAND,Pethidine hydrochloride (0407020V0),153,7710.43718811032,1110.5,63778023
202501,ENGLAND,Tramadol hydrochloride (040702040),443569,1557203.36682416,11024117.749821,63811119
202501,ENGLAND,Hydromorphone hydrochloride (040702050),358,10386.1929079864,6654.874988489,63811119
202501,ENGLAND,Fentanyl (0407020A0),56127,2125071.48583484,258483,63811119
202501,ENGLAND,Oxycodone hydrochloride (0407020AD),158506,2640416.34783399,1652350.45133305,63811119
202501,ENGLAND,Oxycodone hydrochloride/naloxone hydrochloride (0407020AF),1881,122233.823912624,,63811119
202501,ENGLAND,Tapentadol (0407020AG),13858,582504.365327725,,63811119
202501,ENGLAND,Buprenorphine (0407020B0),231577,4062995.14941356,3014364.02975809,63811119
202501,ENGLAND,Codeine phosphate (0407020C0),480140,1239294.8957012,10811550.7050926,63811119
202501,ENGLAND,Dihydrocodeine tartrate (0407020G0),117866,634928.511701679,2725119.58332904,63811119
202501,ENGLAND,Dipipanone hydrochloride (0407020H0),61,42470.9252079231,1206.25,63811119
202501,ENGLAND,Diamorphine hydrochloride (Systemic) (0407020K0),566,43769.103004664,11489.999997298,63811119
202501,ENGLAND,Meptazinol hydrochloride (0407020L0),3455,52532.5052750069,93726.333239607,63811119
202501,ENGLAND,Methadone hydrochloride (0407020M0),812,39258.3887976329,,63811119
202501,ENGLAND,Morphine sulfate (0407020Q0),433949,2504717.33650274,3170655.27159358,63811119
202501,ENGLAND,Pentazocine hydrochloride (0407020T0),71,8606.67935871288,3172,63811119
202501,ENGLAND,Pethidine hydrochloride (0407020V0),160,6749.07910821979,969.25,63811119
202502,ENGLAND,Tramadol hydrochloride (040702040),394885,1378570.2056989,9788825.66651014,63814878
202502,ENGLAND,Hydromorphone hydrochloride (040702050),312,9153.54379981809,5917.45832306,63814878
202502,ENGLAND,Fentanyl (0407020A0),49465,1875189.95052118,227916,63814878
202502,ENGLAND,Oxycodone hydrochloride (0407020AD),142142,2387684.3756299,1470899.45237489,63814878
202502,ENGLAND,Oxycodone hydrochloride/naloxone hydrochloride (0407020AF),1647,103431.677795489,,63814878
202502,ENGLAND,Tapentadol (0407020AG),12365,512863.00389343,,63814878
